,all,long,medium,short
Baseline,"0.17 (0.15, 0.19)",--,--,--
0-Shot | Notes,"0.41 (0.38, 0.44)","0.45 (0.40, 0.50)","0.40 (0.35, 0.45)","0.38 (0.33, 0.43)"
0-Shot | Summary,"0.40 (0.37, 0.43)","0.46 (0.41, 0.51)","0.38 (0.32, 0.43)","0.36 (0.31, 0.42)"
5-Shot | Summary,"0.41 (0.38, 0.44)","0.47 (0.41, 0.52)","0.39 (0.34, 0.44)","0.36 (0.31, 0.42)"
10-Shot | Summary,"0.41 (0.38, 0.44)","0.44 (0.38, 0.49)","0.41 (0.35, 0.46)","0.38 (0.33, 0.43)"
20-Shot | Summary,"0.43 (0.40, 0.46)","0.46 (0.41, 0.51)","0.43 (0.38, 0.49)","0.40 (0.34, 0.45)"
50-Shot | Summary,"0.42 (0.39, 0.45)","0.48 (0.43, 0.53)","0.39 (0.34, 0.44)","0.39 (0.34, 0.45)"
0-Shot CoT | Notes,"0.46 (0.43, 0.49)","0.46 (0.41, 0.52)","0.47 (0.41, 0.52)","0.44 (0.39, 0.49)"
0-Shot CoT | Summary,"0.45 (0.42, 0.48)","0.50 (0.44, 0.55)","0.44 (0.38, 0.49)","0.42 (0.36, 0.47)"
5-Shot CoT | Summary,"0.46 (0.43, 0.49)","0.49 (0.43, 0.54)","0.47 (0.42, 0.53)","0.43 (0.37, 0.48)"
10-Shot CoT | Summary,"0.48 (0.45, 0.52)","0.48 (0.42, 0.53)","0.51 (0.45, 0.56)","0.46 (0.41, 0.52)"
20-Shot CoT | Summary,"0.50 (0.47, 0.53)","0.50 (0.45, 0.56)","0.54 (0.49, 0.60)","0.45 (0.40, 0.51)"
50-Shot CoT | Summary,"0.50 (0.46, 0.53)","0.53 (0.48, 0.59)","0.50 (0.44, 0.55)","0.45 (0.40, 0.51)"
