Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,1851847.0,2.1460308698918545e-137,2.1460308698918545e-137,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,167617.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,491039.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,2060909.0,1.435157132164666e-96,1.435157132164666e-96,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,36553.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,132853.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,1520853.0,6.475015123572063e-217,6.475015123572063e-217,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,25796.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,146589.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,1354381.0,8.351711532535168e-264,1.2527567298802752e-263,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,390212.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,1395494.5,6.077424866466067e-252,6.077424866466067e-252,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,1120481.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,280470.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,1321104.5,6.942759837741857e-274,6.942759837741857e-274,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,3164562.0,0.4381748487850512,0.4381748487850512,False,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,93828.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,84595.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,1642891.0,1.8100468829681684e-185,5.4301406489045055e-185,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,1760513.0,1.6280387040842355e-157,2.4420580561263534e-157,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,3325660.0,8.356758850017675e-05,8.356758850017675e-05,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,1967195.0,5.7307570190875385e-114,5.7307570190875385e-114,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,126944.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,359873.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,737195.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,355648.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,2153480.0,7.102930750911857e-81,7.102930750911857e-81,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,838251.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,2268249.0,2.911942593864618e-63,2.911942593864618e-63,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,4871914.0,5.386052110861622e-257,8.079078166292434e-257,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,53414.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,644628.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,5422207.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,708575.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,93487.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,1058244.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
