,all,long,medium,short
Baseline,"0.00 (-0.03, 0.03)",--,--,--
0-Shot | Notes,"0.27 (0.23, 0.30)","0.29 (0.23, 0.36)","0.25 (0.19, 0.32)","0.24 (0.18, 0.31)"
0-Shot | Summary,"0.25 (0.21, 0.29)","0.31 (0.25, 0.37)","0.22 (0.16, 0.29)","0.22 (0.16, 0.28)"
5-Shot | Summary,"0.26 (0.23, 0.30)","0.31 (0.25, 0.38)","0.24 (0.17, 0.31)","0.22 (0.15, 0.29)"
10-Shot | Summary,"0.27 (0.23, 0.31)","0.28 (0.21, 0.34)","0.26 (0.20, 0.33)","0.24 (0.17, 0.30)"
20-Shot | Summary,"0.30 (0.26, 0.33)","0.31 (0.24, 0.38)","0.29 (0.22, 0.35)","0.26 (0.19, 0.33)"
50-Shot | Summary,"0.28 (0.24, 0.32)","0.33 (0.26, 0.40)","0.24 (0.17, 0.31)","0.25 (0.19, 0.32)"
0-Shot CoT | Notes,"0.32 (0.28, 0.36)","0.30 (0.23, 0.37)","0.33 (0.26, 0.40)","0.31 (0.25, 0.38)"
0-Shot CoT | Summary,"0.31 (0.27, 0.35)","0.34 (0.27, 0.41)","0.28 (0.22, 0.35)","0.28 (0.21, 0.35)"
5-Shot CoT | Summary,"0.32 (0.28, 0.36)","0.34 (0.27, 0.41)","0.32 (0.25, 0.39)","0.27 (0.21, 0.34)"
10-Shot CoT | Summary,"0.35 (0.31, 0.39)","0.33 (0.26, 0.40)","0.37 (0.30, 0.43)","0.32 (0.25, 0.39)"
20-Shot CoT | Summary,"0.37 (0.33, 0.41)","0.36 (0.29, 0.43)","0.41 (0.35, 0.48)","0.31 (0.24, 0.37)"
50-Shot CoT | Summary,"0.36 (0.32, 0.40)","0.40 (0.33, 0.47)","0.35 (0.29, 0.42)","0.30 (0.23, 0.37)"
