Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,2740057.0,4.608784239030946e-14,4.608784239030946e-14,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,931026.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,1232053.0,4.024861675493708e-301,6.037292513240562e-301,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,2809615.0,6.425166131441232e-10,6.425166131441232e-10,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,134158.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,222953.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,2129011.0,8.129849136321684e-85,8.129849136321684e-85,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,139464.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,358098.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,1731677.0,4.1608108094756545e-164,6.241216214213482e-164,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,1219921.0,5.762167973625211e-305,1.7286503920875633e-304,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,2461097.0,1.0950112849331115e-38,1.0950112849331115e-38,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,1746913.0,1.3936832743151904e-160,2.0905249114727857e-160,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,891264.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,1952747.0,9.503023558237545e-117,9.503023558237545e-117,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,3748817.0,2.3417675817211352e-34,2.3417675817211352e-34,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,354116.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,209770.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,2400897.0,1.0866187116704232e-45,1.0866187116704232e-45,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,3993511.0,6.08554428669294e-65,9.12831643003941e-65,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,4605690.0,4.567482514167668e-185,1.3702447542503007e-184,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,2891105.0,4.585293405542253e-06,4.585293405542253e-06,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,731389.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,862322.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,986214.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,589675.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,2339774.0,2.0423239370823992e-53,2.0423239370823992e-53,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,1101033.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,2633414.0,5.851767895772476e-22,5.851767895772476e-22,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,4780345.0,8.887344276343653e-231,1.3331016414515482e-230,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,90691.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,904376.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,5361192.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,923953.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,150432.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,1118340.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
