,PPV/1,PPV/2,PPV/3,PPV/4,PPV/5,PPV/6
Baseline,"0.04 (0.03, 0.06)","0.05 (0.04, 0.07)","0.04 (0.03, 0.06)","0.05 (0.04, 0.07)","0.02 (0.01, 0.03)","0.00 (0.00, 0.01)"
0-Shot | Notes,"0.01 (0.01, 0.02)","0.18 (0.15, 0.21)","0.18 (0.15, 0.21)","0.11 (0.09, 0.14)","0.04 (0.03, 0.05)","0.00 (0.00, 0.01)"
0-Shot | Summary,"0.02 (0.01, 0.03)","0.17 (0.14, 0.20)","0.19 (0.15, 0.22)","0.10 (0.08, 0.13)","0.03 (0.02, 0.04)","0.00 (0.00, 0.00)"
5-Shot | Summary,"0.02 (0.01, 0.03)","0.15 (0.12, 0.18)","0.18 (0.15, 0.22)","0.11 (0.09, 0.14)","0.04 (0.03, 0.06)","0.00 (0.00, 0.01)"
10-Shot | Summary,"0.02 (0.01, 0.03)","0.16 (0.13, 0.19)","0.18 (0.15, 0.21)","0.11 (0.08, 0.13)","0.05 (0.03, 0.06)","0.01 (0.00, 0.01)"
20-Shot | Summary,"0.03 (0.02, 0.05)","0.18 (0.15, 0.21)","0.17 (0.14, 0.20)","0.11 (0.09, 0.13)","0.05 (0.04, 0.07)","0.01 (0.00, 0.01)"
50-Shot | Summary,"0.04 (0.03, 0.05)","0.17 (0.14, 0.20)","0.15 (0.13, 0.19)","0.11 (0.08, 0.13)","0.06 (0.04, 0.07)","0.01 (0.00, 0.01)"
0-Shot CoT | Notes,"0.06 (0.04, 0.07)","0.19 (0.16, 0.23)","0.17 (0.14, 0.20)","0.14 (0.11, 0.17)","0.01 (0.01, 0.02)","0.01 (0.00, 0.02)"
0-Shot CoT | Summary,"0.06 (0.05, 0.08)","0.18 (0.15, 0.21)","0.16 (0.13, 0.19)","0.17 (0.14, 0.20)","0.01 (0.00, 0.01)","0.01 (0.00, 0.01)"
5-Shot CoT | Summary,"0.12 (0.09, 0.14)","0.18 (0.15, 0.21)","0.14 (0.12, 0.17)","0.13 (0.11, 0.16)","0.01 (0.00, 0.02)","0.01 (0.00, 0.02)"
10-Shot CoT | Summary,"0.14 (0.11, 0.17)","0.18 (0.15, 0.22)","0.15 (0.12, 0.18)","0.12 (0.10, 0.15)","0.02 (0.01, 0.03)","0.01 (0.00, 0.01)"
20-Shot CoT | Summary,"0.15 (0.12, 0.18)","0.19 (0.16, 0.22)","0.15 (0.12, 0.17)","0.12 (0.09, 0.14)","0.02 (0.01, 0.04)","0.01 (0.00, 0.02)"
50-Shot CoT | Summary,"0.14 (0.12, 0.17)","0.18 (0.15, 0.21)","0.15 (0.12, 0.18)","0.12 (0.10, 0.15)","0.03 (0.02, 0.05)","0.01 (0.00, 0.02)"
