,TPR/1,TPR/2,TPR/3,TPR/4,TPR/5,TPR/6
Baseline,"0.18 (0.12, 0.24)","0.24 (0.18, 0.31)","0.22 (0.16, 0.28)","0.23 (0.17, 0.29)","0.12 (0.08, 0.17)","0.02 (0.00, 0.04)"
0-Shot | Notes,"0.85 (0.62, 1.00)","0.37 (0.32, 0.42)","0.36 (0.31, 0.40)","0.51 (0.44, 0.59)","0.65 (0.52, 0.77)","0.64 (0.00, 1.00)"
0-Shot | Summary,"0.89 (0.72, 1.00)","0.35 (0.31, 0.40)","0.35 (0.31, 0.40)","0.52 (0.45, 0.61)","0.55 (0.41, 0.68)","0.62 (0.00, 1.00)"
5-Shot | Summary,"0.81 (0.61, 0.96)","0.35 (0.30, 0.40)","0.34 (0.30, 0.38)","0.57 (0.49, 0.65)","0.65 (0.52, 0.77)","0.74 (0.00, 1.00)"
10-Shot | Summary,"0.89 (0.72, 1.00)","0.35 (0.30, 0.40)","0.35 (0.30, 0.40)","0.53 (0.45, 0.61)","0.62 (0.50, 0.74)","0.86 (0.50, 1.00)"
20-Shot | Summary,"0.78 (0.63, 0.92)","0.37 (0.33, 0.42)","0.35 (0.30, 0.40)","0.58 (0.50, 0.66)","0.63 (0.52, 0.74)","0.90 (0.67, 1.00)"
50-Shot | Summary,"0.67 (0.53, 0.80)","0.37 (0.32, 0.42)","0.33 (0.28, 0.37)","0.55 (0.47, 0.64)","0.64 (0.52, 0.74)","0.80 (0.50, 1.00)"
0-Shot CoT | Notes,"0.88 (0.78, 0.96)","0.40 (0.35, 0.45)","0.38 (0.33, 0.43)","0.52 (0.46, 0.59)","1.00 (1.00, 1.00)","0.91 (0.67, 1.00)"
0-Shot CoT | Summary,"0.78 (0.68, 0.88)","0.38 (0.33, 0.43)","0.39 (0.33, 0.44)","0.54 (0.47, 0.60)","0.54 (0.22, 0.86)","0.88 (0.60, 1.00)"
5-Shot CoT | Summary,"0.75 (0.67, 0.83)","0.40 (0.35, 0.45)","0.35 (0.30, 0.41)","0.53 (0.45, 0.60)","0.77 (0.50, 1.00)","0.91 (0.67, 1.00)"
10-Shot CoT | Summary,"0.72 (0.64, 0.79)","0.42 (0.37, 0.48)","0.37 (0.32, 0.42)","0.54 (0.47, 0.62)","0.71 (0.50, 0.89)","0.90 (0.67, 1.00)"
20-Shot CoT | Summary,"0.74 (0.66, 0.80)","0.45 (0.40, 0.50)","0.37 (0.32, 0.42)","0.54 (0.46, 0.61)","0.71 (0.54, 0.87)","0.91 (0.67, 1.00)"
50-Shot CoT | Summary,"0.68 (0.61, 0.75)","0.42 (0.37, 0.47)","0.39 (0.33, 0.44)","0.56 (0.49, 0.64)","0.74 (0.59, 0.87)","0.91 (0.67, 1.00)"
