,TPR/True,TPR/False,TNR/True,TNR/False,PPV/True,PPV/False,NPV/True,NPV/False
Baseline,"0.42 (0.38, 0.46)","0.63 (0.59, 0.67)","0.63 (0.59, 0.67)","0.42 (0.38, 0.46)","0.36 (0.30, 0.41)","0.78 (0.67, 0.90)","0.51 (0.47, 0.55)","0.54 (0.49, 0.59)"
0-Shot | Notes,"0.48 (0.44, 0.52)","0.82 (0.77, 0.86)","0.82 (0.77, 0.86)","0.48 (0.44, 0.52)","0.57 (0.50, 0.65)","0.59 (0.50, 0.69)","0.38 (0.35, 0.42)","0.87 (0.84, 0.90)"
0-Shot | Summary,"0.51 (0.47, 0.55)","0.76 (0.72, 0.80)","0.76 (0.72, 0.80)","0.51 (0.47, 0.55)","0.49 (0.43, 0.56)","0.81 (0.70, 0.94)","0.53 (0.49, 0.57)","0.75 (0.70, 0.79)"
5-Shot | Summary,"0.47 (0.44, 0.51)","0.81 (0.76, 0.85)","0.81 (0.76, 0.85)","0.47 (0.44, 0.51)","0.57 (0.49, 0.65)","0.56 (0.48, 0.66)","0.37 (0.33, 0.40)","0.87 (0.83, 0.90)"
10-Shot | Summary,"0.49 (0.45, 0.52)","0.82 (0.77, 0.86)","0.82 (0.77, 0.86)","0.49 (0.45, 0.52)","0.56 (0.49, 0.64)","0.62 (0.53, 0.73)","0.41 (0.37, 0.45)","0.86 (0.82, 0.89)"
20-Shot | Summary,"0.51 (0.47, 0.55)","0.83 (0.79, 0.86)","0.83 (0.79, 0.86)","0.51 (0.47, 0.55)","0.56 (0.49, 0.63)","0.71 (0.61, 0.82)","0.46 (0.43, 0.50)","0.85 (0.81, 0.88)"
50-Shot | Summary,"0.50 (0.46, 0.54)","0.79 (0.75, 0.83)","0.79 (0.75, 0.83)","0.50 (0.46, 0.54)","0.53 (0.46, 0.60)","0.73 (0.62, 0.85)","0.48 (0.44, 0.52)","0.81 (0.77, 0.85)"
0-Shot CoT | Notes,"0.51 (0.47, 0.55)","0.79 (0.75, 0.83)","0.79 (0.75, 0.83)","0.51 (0.47, 0.55)","0.53 (0.46, 0.60)","0.76 (0.66, 0.88)","0.50 (0.46, 0.54)","0.80 (0.76, 0.84)"
0-Shot CoT | Summary,"0.52 (0.48, 0.55)","0.81 (0.77, 0.85)","0.81 (0.77, 0.85)","0.52 (0.48, 0.55)","0.54 (0.48, 0.62)","0.75 (0.65, 0.87)","0.49 (0.45, 0.53)","0.83 (0.79, 0.87)"
5-Shot CoT | Summary,"0.50 (0.46, 0.53)","0.84 (0.80, 0.88)","0.84 (0.80, 0.88)","0.50 (0.46, 0.53)","0.58 (0.51, 0.65)","0.63 (0.54, 0.74)","0.41 (0.37, 0.45)","0.88 (0.85, 0.91)"
10-Shot CoT | Summary,"0.51 (0.48, 0.55)","0.85 (0.81, 0.88)","0.85 (0.81, 0.88)","0.51 (0.48, 0.55)","0.57 (0.50, 0.65)","0.69 (0.59, 0.81)","0.45 (0.41, 0.49)","0.87 (0.84, 0.90)"
20-Shot CoT | Summary,"0.52 (0.48, 0.56)","0.84 (0.80, 0.88)","0.84 (0.80, 0.88)","0.52 (0.48, 0.56)","0.57 (0.50, 0.64)","0.73 (0.63, 0.85)","0.48 (0.44, 0.52)","0.86 (0.83, 0.90)"
50-Shot CoT | Summary,"0.53 (0.49, 0.57)","0.83 (0.79, 0.86)","0.83 (0.79, 0.86)","0.53 (0.49, 0.57)","0.55 (0.48, 0.62)","0.78 (0.68, 0.91)","0.51 (0.47, 0.55)","0.84 (0.80, 0.87)"
