,NPV/True,NPV/False
Baseline,"0.51 (0.47, 0.55)","0.54 (0.49, 0.59)"
0-Shot | Notes,"0.38 (0.35, 0.42)","0.87 (0.84, 0.90)"
0-Shot | Summary,"0.53 (0.49, 0.57)","0.75 (0.70, 0.79)"
5-Shot | Summary,"0.37 (0.33, 0.40)","0.87 (0.83, 0.90)"
10-Shot | Summary,"0.41 (0.37, 0.45)","0.86 (0.82, 0.89)"
20-Shot | Summary,"0.46 (0.43, 0.50)","0.85 (0.81, 0.88)"
50-Shot | Summary,"0.48 (0.44, 0.52)","0.81 (0.77, 0.85)"
0-Shot CoT | Notes,"0.50 (0.46, 0.54)","0.80 (0.76, 0.84)"
0-Shot CoT | Summary,"0.49 (0.45, 0.53)","0.83 (0.79, 0.87)"
5-Shot CoT | Summary,"0.41 (0.37, 0.45)","0.88 (0.85, 0.91)"
10-Shot CoT | Summary,"0.45 (0.41, 0.49)","0.87 (0.84, 0.90)"
20-Shot CoT | Summary,"0.48 (0.44, 0.52)","0.86 (0.83, 0.90)"
50-Shot CoT | Summary,"0.51 (0.47, 0.55)","0.84 (0.80, 0.87)"
