,PPV/True,PPV/False
Baseline,"0.36 (0.30, 0.41)","0.78 (0.67, 0.90)"
0-Shot | Notes,"0.57 (0.50, 0.65)","0.59 (0.50, 0.69)"
0-Shot | Summary,"0.49 (0.43, 0.56)","0.81 (0.70, 0.94)"
5-Shot | Summary,"0.57 (0.49, 0.65)","0.56 (0.48, 0.66)"
10-Shot | Summary,"0.56 (0.49, 0.64)","0.62 (0.53, 0.73)"
20-Shot | Summary,"0.56 (0.49, 0.63)","0.71 (0.61, 0.82)"
50-Shot | Summary,"0.53 (0.46, 0.60)","0.73 (0.62, 0.85)"
0-Shot CoT | Notes,"0.53 (0.46, 0.60)","0.76 (0.66, 0.88)"
0-Shot CoT | Summary,"0.54 (0.48, 0.62)","0.75 (0.65, 0.87)"
5-Shot CoT | Summary,"0.58 (0.51, 0.65)","0.63 (0.54, 0.74)"
10-Shot CoT | Summary,"0.57 (0.50, 0.65)","0.69 (0.59, 0.81)"
20-Shot CoT | Summary,"0.57 (0.50, 0.64)","0.73 (0.63, 0.85)"
50-Shot CoT | Summary,"0.55 (0.48, 0.62)","0.78 (0.68, 0.91)"
