,TPR/True,TPR/False
Baseline,"0.42 (0.38, 0.46)","0.63 (0.59, 0.67)"
0-Shot | Notes,"0.48 (0.44, 0.52)","0.82 (0.77, 0.86)"
0-Shot | Summary,"0.51 (0.47, 0.55)","0.76 (0.72, 0.80)"
5-Shot | Summary,"0.47 (0.44, 0.51)","0.81 (0.76, 0.85)"
10-Shot | Summary,"0.49 (0.45, 0.52)","0.82 (0.77, 0.86)"
20-Shot | Summary,"0.51 (0.47, 0.55)","0.83 (0.79, 0.86)"
50-Shot | Summary,"0.50 (0.46, 0.54)","0.79 (0.75, 0.83)"
0-Shot CoT | Notes,"0.51 (0.47, 0.55)","0.79 (0.75, 0.83)"
0-Shot CoT | Summary,"0.52 (0.48, 0.55)","0.81 (0.77, 0.85)"
5-Shot CoT | Summary,"0.50 (0.46, 0.53)","0.84 (0.80, 0.88)"
10-Shot CoT | Summary,"0.51 (0.48, 0.55)","0.85 (0.81, 0.88)"
20-Shot CoT | Summary,"0.52 (0.48, 0.56)","0.84 (0.80, 0.88)"
50-Shot CoT | Summary,"0.53 (0.49, 0.57)","0.83 (0.79, 0.86)"
