,TPR/True,TPR/False,TNR/True,TNR/False,PPV/True,PPV/False,NPV/True,NPV/False
Baseline,"0.50 (0.44, 0.55)","0.48 (0.42, 0.54)","0.48 (0.42, 0.54)","0.50 (0.44, 0.55)","0.52 (0.42, 0.63)","0.46 (0.37, 0.56)","0.47 (0.41, 0.53)","0.50 (0.45, 0.56)"
0-Shot | Notes,"0.99 (0.97, 1.00)","0.66 (0.61, 0.70)","0.66 (0.61, 0.70)","0.99 (0.97, 1.00)","0.51 (0.42, 0.62)","0.97 (0.82, 1.13)","0.99 (0.98, 1.00)","0.50 (0.44, 0.55)"
0-Shot | Summary,"0.99 (0.97, 1.00)","0.67 (0.62, 0.71)","0.67 (0.62, 0.71)","0.99 (0.97, 1.00)","0.53 (0.44, 0.64)","0.97 (0.82, 1.13)","0.99 (0.98, 1.00)","0.52 (0.46, 0.57)"
5-Shot | Summary,"0.95 (0.92, 0.98)","0.77 (0.73, 0.81)","0.77 (0.73, 0.81)","0.95 (0.92, 0.98)","0.74 (0.62, 0.88)","0.94 (0.79, 1.10)","0.96 (0.94, 0.98)","0.72 (0.67, 0.77)"
10-Shot | Summary,"0.95 (0.92, 0.97)","0.79 (0.75, 0.84)","0.79 (0.75, 0.84)","0.95 (0.92, 0.97)","0.79 (0.66, 0.93)","0.93 (0.79, 1.09)","0.96 (0.93, 0.98)","0.76 (0.71, 0.81)"
20-Shot | Summary,"0.93 (0.90, 0.96)","0.81 (0.76, 0.85)","0.81 (0.76, 0.85)","0.93 (0.90, 0.96)","0.81 (0.68, 0.96)","0.91 (0.77, 1.07)","0.94 (0.91, 0.97)","0.78 (0.73, 0.83)"
50-Shot | Summary,"0.93 (0.90, 0.96)","0.78 (0.73, 0.82)","0.78 (0.73, 0.82)","0.93 (0.90, 0.96)","0.76 (0.64, 0.91)","0.92 (0.78, 1.08)","0.95 (0.92, 0.97)","0.74 (0.69, 0.79)"
0-Shot CoT | Notes,"0.98 (0.95, 1.00)","0.60 (0.55, 0.64)","0.60 (0.55, 0.64)","0.98 (0.95, 1.00)","0.36 (0.29, 0.44)","0.97 (0.82, 1.13)","0.99 (0.98, 1.00)","0.35 (0.29, 0.40)"
0-Shot CoT | Summary,"0.95 (0.92, 0.99)","0.63 (0.58, 0.67)","0.63 (0.58, 0.67)","0.95 (0.92, 0.99)","0.45 (0.36, 0.54)","0.95 (0.81, 1.11)","0.98 (0.96, 0.99)","0.43 (0.38, 0.49)"
5-Shot CoT | Summary,"0.95 (0.92, 0.98)","0.76 (0.72, 0.80)","0.76 (0.72, 0.80)","0.95 (0.92, 0.98)","0.73 (0.61, 0.86)","0.94 (0.79, 1.09)","0.96 (0.94, 0.98)","0.70 (0.65, 0.75)"
10-Shot CoT | Summary,"0.97 (0.94, 0.99)","0.76 (0.72, 0.80)","0.76 (0.72, 0.80)","0.97 (0.94, 0.99)","0.72 (0.60, 0.85)","0.95 (0.81, 1.11)","0.98 (0.96, 0.99)","0.70 (0.65, 0.75)"
20-Shot CoT | Summary,"0.95 (0.92, 0.98)","0.76 (0.71, 0.80)","0.76 (0.71, 0.80)","0.95 (0.92, 0.98)","0.73 (0.61, 0.86)","0.94 (0.80, 1.10)","0.96 (0.94, 0.98)","0.70 (0.65, 0.75)"
50-Shot CoT | Summary,"0.95 (0.92, 0.98)","0.76 (0.72, 0.80)","0.76 (0.72, 0.80)","0.95 (0.92, 0.98)","0.73 (0.61, 0.87)","0.94 (0.80, 1.10)","0.96 (0.94, 0.98)","0.70 (0.65, 0.76)"
