,NPV/True,NPV/False
Baseline,"0.47 (0.41, 0.53)","0.50 (0.45, 0.56)"
0-Shot | Notes,"0.99 (0.98, 1.00)","0.50 (0.44, 0.55)"
0-Shot | Summary,"0.99 (0.98, 1.00)","0.52 (0.46, 0.57)"
5-Shot | Summary,"0.96 (0.94, 0.98)","0.72 (0.67, 0.77)"
10-Shot | Summary,"0.96 (0.93, 0.98)","0.76 (0.71, 0.81)"
20-Shot | Summary,"0.94 (0.91, 0.97)","0.78 (0.73, 0.83)"
50-Shot | Summary,"0.95 (0.92, 0.97)","0.74 (0.69, 0.79)"
0-Shot CoT | Notes,"0.99 (0.98, 1.00)","0.35 (0.29, 0.40)"
0-Shot CoT | Summary,"0.98 (0.96, 0.99)","0.43 (0.38, 0.49)"
5-Shot CoT | Summary,"0.96 (0.94, 0.98)","0.70 (0.65, 0.75)"
10-Shot CoT | Summary,"0.98 (0.96, 0.99)","0.70 (0.65, 0.75)"
20-Shot CoT | Summary,"0.96 (0.94, 0.98)","0.70 (0.65, 0.75)"
50-Shot CoT | Summary,"0.96 (0.94, 0.98)","0.70 (0.65, 0.76)"
