,TPR/True,TPR/False,TNR/True,TNR/False,PPV/True,PPV/False,NPV/True,NPV/False
Baseline,"0.53 (0.49, 0.57)","0.52 (0.48, 0.56)","0.52 (0.48, 0.56)","0.53 (0.49, 0.57)","0.55 (0.47, 0.63)","0.51 (0.43, 0.59)","0.51 (0.47, 0.56)","0.53 (0.49, 0.58)"
0-Shot | Notes,"0.79 (0.75, 0.82)","0.81 (0.78, 0.85)","0.81 (0.78, 0.85)","0.79 (0.75, 0.82)","0.85 (0.74, 0.96)","0.76 (0.66, 0.86)","0.77 (0.73, 0.81)","0.83 (0.79, 0.86)"
0-Shot | Summary,"0.80 (0.76, 0.83)","0.74 (0.71, 0.78)","0.74 (0.71, 0.78)","0.80 (0.76, 0.83)","0.74 (0.65, 0.84)","0.80 (0.70, 0.91)","0.81 (0.78, 0.85)","0.73 (0.69, 0.77)"
5-Shot | Summary,"0.79 (0.75, 0.82)","0.78 (0.74, 0.81)","0.78 (0.74, 0.81)","0.79 (0.75, 0.82)","0.79 (0.69, 0.90)","0.78 (0.68, 0.88)","0.79 (0.75, 0.82)","0.78 (0.74, 0.81)"
10-Shot | Summary,"0.80 (0.76, 0.83)","0.79 (0.75, 0.82)","0.79 (0.75, 0.82)","0.80 (0.76, 0.83)","0.80 (0.70, 0.91)","0.78 (0.68, 0.89)","0.80 (0.76, 0.83)","0.79 (0.75, 0.82)"
20-Shot | Summary,"0.80 (0.76, 0.83)","0.77 (0.74, 0.81)","0.77 (0.74, 0.81)","0.80 (0.76, 0.83)","0.79 (0.69, 0.90)","0.78 (0.69, 0.89)","0.80 (0.76, 0.83)","0.77 (0.74, 0.81)"
50-Shot | Summary,"0.80 (0.76, 0.83)","0.80 (0.77, 0.84)","0.80 (0.77, 0.84)","0.80 (0.76, 0.83)","0.83 (0.72, 0.94)","0.78 (0.68, 0.89)","0.79 (0.75, 0.83)","0.81 (0.77, 0.84)"
0-Shot CoT | Notes,"0.82 (0.78, 0.85)","0.76 (0.72, 0.79)","0.76 (0.72, 0.79)","0.82 (0.78, 0.85)","0.76 (0.66, 0.86)","0.81 (0.71, 0.92)","0.83 (0.79, 0.86)","0.74 (0.70, 0.78)"
0-Shot CoT | Summary,"0.78 (0.74, 0.81)","0.78 (0.74, 0.82)","0.78 (0.74, 0.82)","0.78 (0.74, 0.81)","0.81 (0.71, 0.92)","0.76 (0.66, 0.87)","0.77 (0.73, 0.81)","0.79 (0.75, 0.82)"
5-Shot CoT | Summary,"0.80 (0.76, 0.83)","0.82 (0.79, 0.86)","0.82 (0.79, 0.86)","0.80 (0.76, 0.83)","0.86 (0.75, 0.97)","0.77 (0.67, 0.88)","0.78 (0.74, 0.82)","0.84 (0.80, 0.87)"
10-Shot CoT | Summary,"0.82 (0.78, 0.85)","0.80 (0.76, 0.83)","0.80 (0.76, 0.83)","0.82 (0.78, 0.85)","0.81 (0.71, 0.92)","0.81 (0.71, 0.91)","0.82 (0.78, 0.85)","0.79 (0.76, 0.83)"
20-Shot CoT | Summary,"0.83 (0.80, 0.87)","0.77 (0.74, 0.81)","0.77 (0.74, 0.81)","0.83 (0.80, 0.87)","0.77 (0.68, 0.88)","0.83 (0.72, 0.94)","0.84 (0.81, 0.88)","0.76 (0.72, 0.80)"
50-Shot CoT | Summary,"0.83 (0.80, 0.86)","0.76 (0.72, 0.79)","0.76 (0.72, 0.79)","0.83 (0.80, 0.86)","0.75 (0.65, 0.85)","0.83 (0.73, 0.95)","0.85 (0.82, 0.88)","0.73 (0.69, 0.77)"
