,PPV/True,PPV/False
Baseline,"0.55 (0.47, 0.63)","0.51 (0.43, 0.59)"
0-Shot | Notes,"0.85 (0.74, 0.96)","0.76 (0.66, 0.86)"
0-Shot | Summary,"0.74 (0.65, 0.84)","0.80 (0.70, 0.91)"
5-Shot | Summary,"0.79 (0.69, 0.90)","0.78 (0.68, 0.88)"
10-Shot | Summary,"0.80 (0.70, 0.91)","0.78 (0.68, 0.89)"
20-Shot | Summary,"0.79 (0.69, 0.90)","0.78 (0.69, 0.89)"
50-Shot | Summary,"0.83 (0.72, 0.94)","0.78 (0.68, 0.89)"
0-Shot CoT | Notes,"0.76 (0.66, 0.86)","0.81 (0.71, 0.92)"
0-Shot CoT | Summary,"0.81 (0.71, 0.92)","0.76 (0.66, 0.87)"
5-Shot CoT | Summary,"0.86 (0.75, 0.97)","0.77 (0.67, 0.88)"
10-Shot CoT | Summary,"0.81 (0.71, 0.92)","0.81 (0.71, 0.91)"
20-Shot CoT | Summary,"0.77 (0.68, 0.88)","0.83 (0.72, 0.94)"
50-Shot CoT | Summary,"0.75 (0.65, 0.85)","0.83 (0.73, 0.95)"
