,TNR/True,TNR/False
Baseline,"0.52 (0.48, 0.56)","0.53 (0.49, 0.57)"
0-Shot | Notes,"0.81 (0.78, 0.85)","0.79 (0.75, 0.82)"
0-Shot | Summary,"0.74 (0.71, 0.78)","0.80 (0.76, 0.83)"
5-Shot | Summary,"0.78 (0.74, 0.81)","0.79 (0.75, 0.82)"
10-Shot | Summary,"0.79 (0.75, 0.82)","0.80 (0.76, 0.83)"
20-Shot | Summary,"0.77 (0.74, 0.81)","0.80 (0.76, 0.83)"
50-Shot | Summary,"0.80 (0.77, 0.84)","0.80 (0.76, 0.83)"
0-Shot CoT | Notes,"0.76 (0.72, 0.79)","0.82 (0.78, 0.85)"
0-Shot CoT | Summary,"0.78 (0.74, 0.82)","0.78 (0.74, 0.81)"
5-Shot CoT | Summary,"0.82 (0.79, 0.86)","0.80 (0.76, 0.83)"
10-Shot CoT | Summary,"0.80 (0.76, 0.83)","0.82 (0.78, 0.85)"
20-Shot CoT | Summary,"0.77 (0.74, 0.81)","0.83 (0.80, 0.87)"
50-Shot CoT | Summary,"0.76 (0.72, 0.79)","0.83 (0.80, 0.86)"
