,TPR/True,TPR/False,TNR/True,TNR/False,PPV/True,PPV/False,NPV/True,NPV/False
Baseline,"0.46 (0.41, 0.50)","0.45 (0.40, 0.49)","0.45 (0.40, 0.49)","0.46 (0.41, 0.50)","0.47 (0.39, 0.55)","0.44 (0.37, 0.52)","0.45 (0.40, 0.49)","0.46 (0.41, 0.50)"
0-Shot | Notes,"0.57 (0.53, 0.61)","0.66 (0.61, 0.72)","0.66 (0.61, 0.72)","0.57 (0.53, 0.61)","0.82 (0.72, 0.94)","0.38 (0.32, 0.45)","0.39 (0.35, 0.43)","0.81 (0.77, 0.84)"
0-Shot | Summary,"0.60 (0.56, 0.64)","0.63 (0.58, 0.67)","0.63 (0.58, 0.67)","0.60 (0.56, 0.64)","0.71 (0.61, 0.81)","0.51 (0.44, 0.60)","0.52 (0.48, 0.57)","0.69 (0.65, 0.73)"
5-Shot | Summary,"0.55 (0.51, 0.59)","0.56 (0.51, 0.61)","0.56 (0.51, 0.61)","0.55 (0.51, 0.59)","0.67 (0.57, 0.77)","0.45 (0.37, 0.52)","0.45 (0.41, 0.50)","0.66 (0.61, 0.70)"
10-Shot | Summary,"0.56 (0.52, 0.60)","0.60 (0.54, 0.64)","0.60 (0.54, 0.64)","0.56 (0.52, 0.60)","0.72 (0.62, 0.82)","0.43 (0.36, 0.51)","0.44 (0.40, 0.48)","0.71 (0.66, 0.75)"
20-Shot | Summary,"0.56 (0.52, 0.60)","0.60 (0.55, 0.65)","0.60 (0.55, 0.65)","0.56 (0.52, 0.60)","0.73 (0.62, 0.84)","0.43 (0.37, 0.51)","0.44 (0.40, 0.48)","0.71 (0.67, 0.75)"
50-Shot | Summary,"0.57 (0.53, 0.61)","0.61 (0.56, 0.66)","0.61 (0.56, 0.66)","0.57 (0.53, 0.61)","0.74 (0.64, 0.85)","0.43 (0.36, 0.50)","0.44 (0.39, 0.48)","0.73 (0.69, 0.77)"
0-Shot CoT | Notes,"0.59 (0.54, 0.64)","0.57 (0.52, 0.61)","0.57 (0.52, 0.61)","0.59 (0.54, 0.64)","0.54 (0.45, 0.63)","0.62 (0.53, 0.71)","0.63 (0.59, 0.67)","0.53 (0.48, 0.57)"
0-Shot CoT | Summary,"0.58 (0.54, 0.63)","0.58 (0.53, 0.62)","0.58 (0.53, 0.62)","0.58 (0.54, 0.63)","0.60 (0.52, 0.70)","0.56 (0.48, 0.65)","0.57 (0.53, 0.61)","0.59 (0.55, 0.64)"
5-Shot CoT | Summary,"0.59 (0.54, 0.63)","0.60 (0.55, 0.65)","0.60 (0.55, 0.65)","0.59 (0.54, 0.63)","0.66 (0.57, 0.76)","0.53 (0.45, 0.61)","0.54 (0.49, 0.58)","0.65 (0.60, 0.69)"
10-Shot CoT | Summary,"0.58 (0.54, 0.63)","0.58 (0.53, 0.62)","0.58 (0.53, 0.62)","0.58 (0.54, 0.63)","0.60 (0.51, 0.69)","0.57 (0.48, 0.65)","0.58 (0.53, 0.62)","0.58 (0.54, 0.63)"
20-Shot CoT | Summary,"0.59 (0.55, 0.63)","0.58 (0.54, 0.62)","0.58 (0.54, 0.62)","0.59 (0.55, 0.63)","0.59 (0.50, 0.68)","0.58 (0.50, 0.67)","0.59 (0.55, 0.64)","0.58 (0.53, 0.62)"
50-Shot CoT | Summary,"0.58 (0.53, 0.62)","0.56 (0.51, 0.60)","0.56 (0.51, 0.60)","0.58 (0.53, 0.62)","0.53 (0.45, 0.61)","0.61 (0.52, 0.70)","0.62 (0.57, 0.66)","0.52 (0.47, 0.56)"
