,PPV/True,PPV/False
Baseline,"0.47 (0.39, 0.55)","0.44 (0.37, 0.52)"
0-Shot | Notes,"0.82 (0.72, 0.94)","0.38 (0.32, 0.45)"
0-Shot | Summary,"0.71 (0.61, 0.81)","0.51 (0.44, 0.60)"
5-Shot | Summary,"0.67 (0.57, 0.77)","0.45 (0.37, 0.52)"
10-Shot | Summary,"0.72 (0.62, 0.82)","0.43 (0.36, 0.51)"
20-Shot | Summary,"0.73 (0.62, 0.84)","0.43 (0.37, 0.51)"
50-Shot | Summary,"0.74 (0.64, 0.85)","0.43 (0.36, 0.50)"
0-Shot CoT | Notes,"0.54 (0.45, 0.63)","0.62 (0.53, 0.71)"
0-Shot CoT | Summary,"0.60 (0.52, 0.70)","0.56 (0.48, 0.65)"
5-Shot CoT | Summary,"0.66 (0.57, 0.76)","0.53 (0.45, 0.61)"
10-Shot CoT | Summary,"0.60 (0.51, 0.69)","0.57 (0.48, 0.65)"
20-Shot CoT | Summary,"0.59 (0.50, 0.68)","0.58 (0.50, 0.67)"
50-Shot CoT | Summary,"0.53 (0.45, 0.61)","0.61 (0.52, 0.70)"
