,TPR/True,TPR/False
Baseline,"0.46 (0.41, 0.50)","0.45 (0.40, 0.49)"
0-Shot | Notes,"0.57 (0.53, 0.61)","0.66 (0.61, 0.72)"
0-Shot | Summary,"0.60 (0.56, 0.64)","0.63 (0.58, 0.67)"
5-Shot | Summary,"0.55 (0.51, 0.59)","0.56 (0.51, 0.61)"
10-Shot | Summary,"0.56 (0.52, 0.60)","0.60 (0.54, 0.64)"
20-Shot | Summary,"0.56 (0.52, 0.60)","0.60 (0.55, 0.65)"
50-Shot | Summary,"0.57 (0.53, 0.61)","0.61 (0.56, 0.66)"
0-Shot CoT | Notes,"0.59 (0.54, 0.64)","0.57 (0.52, 0.61)"
0-Shot CoT | Summary,"0.58 (0.54, 0.63)","0.58 (0.53, 0.62)"
5-Shot CoT | Summary,"0.59 (0.54, 0.63)","0.60 (0.55, 0.65)"
10-Shot CoT | Summary,"0.58 (0.54, 0.63)","0.58 (0.53, 0.62)"
20-Shot CoT | Summary,"0.59 (0.55, 0.63)","0.58 (0.54, 0.62)"
50-Shot CoT | Summary,"0.58 (0.53, 0.62)","0.56 (0.51, 0.60)"
