,all,long,medium,short
Baseline,"0.52 (0.49, 0.55)",--,--,--
0-Shot | Notes,"0.58 (0.55, 0.61)","0.56 (0.51, 0.62)","0.57 (0.52, 0.62)","0.60 (0.54, 0.65)"
0-Shot | Summary,"0.62 (0.58, 0.65)","0.62 (0.57, 0.67)","0.61 (0.56, 0.66)","0.61 (0.56, 0.66)"
5-Shot | Summary,"0.56 (0.53, 0.59)","0.59 (0.54, 0.65)","0.56 (0.51, 0.62)","0.54 (0.48, 0.59)"
10-Shot | Summary,"0.59 (0.56, 0.62)","0.59 (0.54, 0.64)","0.59 (0.54, 0.65)","0.58 (0.52, 0.63)"
20-Shot | Summary,"0.62 (0.59, 0.65)","0.62 (0.56, 0.67)","0.63 (0.58, 0.68)","0.61 (0.55, 0.66)"
50-Shot | Summary,"0.61 (0.58, 0.64)","0.63 (0.58, 0.68)","0.62 (0.57, 0.67)","0.57 (0.52, 0.63)"
0-Shot CoT | Notes,"0.62 (0.59, 0.65)","0.61 (0.56, 0.66)","0.61 (0.56, 0.66)","0.64 (0.59, 0.69)"
0-Shot CoT | Summary,"0.63 (0.59, 0.66)","0.63 (0.58, 0.68)","0.64 (0.59, 0.69)","0.61 (0.55, 0.66)"
5-Shot CoT | Summary,"0.60 (0.57, 0.63)","0.61 (0.55, 0.65)","0.63 (0.58, 0.68)","0.56 (0.50, 0.61)"
10-Shot CoT | Summary,"0.62 (0.59, 0.65)","0.62 (0.57, 0.67)","0.62 (0.56, 0.67)","0.63 (0.57, 0.68)"
20-Shot CoT | Summary,"0.63 (0.60, 0.66)","0.64 (0.59, 0.69)","0.62 (0.57, 0.67)","0.63 (0.57, 0.68)"
50-Shot CoT | Summary,"0.64 (0.61, 0.67)","0.64 (0.59, 0.69)","0.65 (0.60, 0.70)","0.63 (0.57, 0.68)"
