,all,long,medium,short
Baseline,"0.05 (-0.01, 0.11)",--,--,--
0-Shot | Notes,"0.28 (0.22, 0.33)","0.20 (0.09, 0.29)","0.28 (0.18, 0.36)","0.31 (0.22, 0.40)"
0-Shot | Summary,"0.27 (0.21, 0.33)","0.29 (0.19, 0.39)","0.26 (0.16, 0.36)","0.22 (0.11, 0.32)"
5-Shot | Summary,"0.25 (0.20, 0.31)","0.28 (0.19, 0.37)","0.24 (0.14, 0.34)","0.22 (0.11, 0.31)"
10-Shot | Summary,"0.28 (0.23, 0.34)","0.27 (0.17, 0.36)","0.28 (0.19, 0.37)","0.27 (0.17, 0.36)"
20-Shot | Summary,"0.33 (0.27, 0.38)","0.30 (0.21, 0.39)","0.33 (0.23, 0.42)","0.31 (0.21, 0.40)"
50-Shot | Summary,"0.29 (0.23, 0.34)","0.30 (0.20, 0.40)","0.32 (0.23, 0.41)","0.23 (0.12, 0.33)"
0-Shot CoT | Notes,"0.30 (0.24, 0.36)","0.26 (0.16, 0.36)","0.27 (0.17, 0.37)","0.36 (0.27, 0.44)"
0-Shot CoT | Summary,"0.33 (0.27, 0.38)","0.32 (0.22, 0.41)","0.34 (0.25, 0.44)","0.29 (0.19, 0.38)"
5-Shot CoT | Summary,"0.31 (0.26, 0.36)","0.29 (0.19, 0.38)","0.37 (0.29, 0.45)","0.24 (0.14, 0.34)"
10-Shot CoT | Summary,"0.34 (0.29, 0.39)","0.31 (0.22, 0.40)","0.34 (0.24, 0.42)","0.34 (0.24, 0.43)"
20-Shot CoT | Summary,"0.35 (0.30, 0.40)","0.35 (0.26, 0.44)","0.34 (0.25, 0.43)","0.33 (0.23, 0.42)"
50-Shot CoT | Summary,"0.35 (0.30, 0.40)","0.34 (0.25, 0.43)","0.36 (0.27, 0.45)","0.32 (0.22, 0.41)"
