Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,4446736.0,7.008612194381988e-148,7.008612194381988e-148,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,5965137.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,5498343.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,1721563.0,1.810767009221879e-166,2.7161505138328187e-166,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,971365.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,2108696.5,3.1144830128648983e-88,3.1144830128648983e-88,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,2332574.0,2.2866938990761575e-54,2.2866938990761575e-54,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,1103915.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,1711741.0,8.880127192538716e-169,1.3320190788808076e-168,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,2590102.0,1.0588969047392434e-25,1.5883453571088652e-25,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,3234643.0,0.03168749742469657,0.03168749742469657,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,3772063.5,7.77809044270361e-37,2.333427132811083e-36,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,2408483.0,8.947319592172911e-45,1.3420979388259368e-44,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,3313176.0,0.00022682154531361663,0.00022682154531361663,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,4018306.5,1.3496350934484424e-68,4.048905280345328e-68,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,566099.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,1008018.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,3942500.0,9.559902684152393e-58,9.559902684152393e-58,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,5577853.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,5750904.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,3547290.0,1.2918734952682564e-16,1.2918734952682564e-16,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,1268560.0,1.057990554245698e-289,3.1739716627370944e-289,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,1959309.0,1.8166960669752225e-115,2.7250441004628337e-115,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,3936229.5,6.842311349351138e-57,6.842311349351138e-57,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,158572.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,1510697.0,1.4028677765672538e-219,1.4028677765672538e-219,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,5552694.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,3233784.0,0.033048019153495464,0.033048019153495464,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,3952847.0,3.5953832526589127e-59,1.0786149757976739e-58,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,3870327.0,2.6524076921891834e-48,3.978611538283775e-48,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,2820616.0,2.4601947432266777e-09,2.4601947432266777e-09,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,2406906.0,5.782802514848598e-45,1.7348407544545793e-44,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,2693244.5,2.678599111538226e-17,4.017898667307339e-17,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,1557585.0,3.953425684188088e-207,1.1860277052564264e-206,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,2177316.0,5.739655619891407e-77,8.60948342983711e-77,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,3849982.5,8.497739592181343e-46,8.497739592181343e-46,True,0.016952427508441503,0.016666666666666666
