Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,1262928.0,9.036373323381092e-17,9.466676814970668e-17,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,385004.0,1.3326792414532268e-232,1.9121049986068035e-232,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,1093298.0,1.993098354769031e-38,2.1216853453992908e-38,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,18944.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,964577.0,9.330703684626879e-62,1.0263774053089566e-61,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,216642.0,1.432567942770293e-304,2.3637371055709837e-304,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,17345.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,109810.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,1306.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,79.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,107.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,524820.0,5.7598213518597824e-182,7.758126718831544e-182,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,782455.0,9.778257283829693e-104,1.1126982426426892e-103,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,9124.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
