,all,long,medium,short
Baseline,"5.42 (5.04, 5.85)",--,--,--
0-Shot | Notes,"4.80 (4.40, 5.26)","5.47 (4.66, 6.45)","4.43 (3.84, 5.11)","4.49 (3.87, 5.23)"
0-Shot | Summary,"4.72 (4.31, 5.17)","5.17 (4.37, 6.14)","4.55 (3.98, 5.20)","4.42 (3.80, 5.18)"
5-Shot | Summary,"6.87 (6.39, 7.39)","7.98 (6.99, 9.08)","7.03 (6.24, 7.87)","5.60 (4.89, 6.39)"
10-Shot | Summary,"7.81 (7.30, 8.35)","9.06 (8.04, 10.11)","7.87 (7.02, 8.75)","6.47 (5.72, 7.35)"
20-Shot | Summary,"7.70 (7.16, 8.24)","9.22 (8.17, 10.31)","7.89 (7.00, 8.82)","5.95 (5.19, 6.84)"
50-Shot | Summary,"7.87 (7.35, 8.42)","8.74 (7.83, 9.81)","8.09 (7.24, 8.98)","6.72 (5.91, 7.65)"
0-Shot CoT | Notes,"4.70 (4.31, 5.17)","5.67 (4.83, 6.70)","4.33 (3.80, 4.92)","4.09 (3.53, 4.81)"
0-Shot CoT | Summary,"4.55 (4.18, 4.98)","5.01 (4.28, 5.91)","4.30 (3.75, 4.89)","4.32 (3.74, 5.03)"
5-Shot CoT | Summary,"8.10 (7.57, 8.67)","9.64 (8.58, 10.78)","8.29 (7.40, 9.18)","6.35 (5.58, 7.22)"
10-Shot CoT | Summary,"8.11 (7.56, 8.69)","9.51 (8.44, 10.58)","8.50 (7.58, 9.46)","6.30 (5.44, 7.27)"
20-Shot CoT | Summary,"8.71 (8.15, 9.30)","11.09 (9.97, 12.27)","8.19 (7.30, 9.14)","6.81 (5.93, 7.77)"
50-Shot CoT | Summary,"7.51 (7.01, 8.02)","8.96 (7.98, 9.95)","7.52 (6.70, 8.34)","6.01 (5.28, 6.85)"
