Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,3405990.5,3.676764187985564e-08,3.676764187985564e-08,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,260579.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,171386.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,2404860.0,3.277008215863231e-45,3.277008215863231e-45,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,580719.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,796677.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,40373.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,820.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,485848.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,73442.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,393.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,260964.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,8034.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,3.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,190797.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,98709.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,7871.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,1029660.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,1789501.0,6.191785183882522e-151,6.191785183882522e-151,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,17701.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,29985.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,3196506.0,0.16119080481393455,0.16119080481393455,False,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,608379.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,489304.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,8285.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,18.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,191223.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,3760.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,22.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,521251.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,112037.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,369.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,36416.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,10.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,78734.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
