Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,195817.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,351524.0,5.846428931521902e-246,6.431071824674093e-246,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,157.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,1347865.0,2.2809409060373114e-08,2.3160323045917316e-08,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,3413.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,5-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot CoT | Summary,141.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot | Summary,755027.5,1.3352296693701978e-110,1.3988120345783023e-110,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot | Summary,1164414.0,4.267836272094382e-28,4.401206155597331e-28,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,5-Shot CoT | Summary,176114.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,10-Shot CoT | Summary,93053.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
