,all,long,medium,short
Baseline,"84.04 (45.84, 93.84)",--,--,--
0-Shot | Notes,"86.21 (44.00, 97.00)","76.29 (37.00, 97.00)","42.48 (37.00, 44.00)","62.67 (26.00, 83.00)"
0-Shot | Summary,"89.18 (44.00, 101.00)","78.84 (37.00, 101.00)","45.10 (33.00, 49.00)","62.47 (25.00, 83.00)"
5-Shot | Summary,"85.27 (44.00, 95.00)","75.61 (43.00, 95.00)","45.03 (38.00, 47.00)","64.94 (29.00, 83.00)"
10-Shot | Summary,"80.08 (46.00, 87.00)","70.92 (44.00, 87.00)","45.81 (39.00, 47.00)","65.20 (29.00, 82.00)"
20-Shot | Summary,"80.53 (47.00, 87.00)","71.16 (43.00, 87.00)","47.58 (39.00, 49.00)","64.03 (30.00, 83.00)"
50-Shot | Summary,"83.27 (52.00, 90.00)","71.07 (35.00, 90.00)","49.14 (36.00, 52.00)","71.09 (33.00, 83.00)"
0-Shot CoT | Notes,"90.24 (51.00, 101.00)","82.29 (37.00, 101.00)","43.72 (29.00, 47.00)","62.77 (24.00, 84.00)"
0-Shot CoT | Summary,"89.00 (44.00, 101.00)","78.07 (30.00, 101.00)","44.36 (33.00, 47.00)","61.60 (22.00, 83.00)"
5-Shot CoT | Summary,"78.10 (48.00, 83.00)","69.81 (47.00, 81.00)","45.35 (38.00, 48.00)","65.04 (31.00, 83.00)"
10-Shot CoT | Summary,"81.26 (50.00, 88.00)","72.56 (40.00, 88.00)","44.79 (40.00, 46.00)","70.02 (40.00, 82.00)"
20-Shot CoT | Summary,"86.67 (40.00, 97.00)","75.40 (39.00, 97.00)","46.50 (38.00, 51.00)","66.12 (33.00, 83.00)"
50-Shot CoT | Summary,"77.48 (44.00, 83.00)","68.01 (42.00, 81.00)","41.61 (35.00, 44.00)","65.20 (28.00, 83.00)"
