Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,3995424.0,8.364780413850394e-70,8.364780413850394e-70,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,1511410.0,2.8538812180926256e-235,4.280821827138939e-235,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,1192592.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,4031730.0,1.995291018751856e-75,1.995291018751856e-75,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,1508220.0,1.10526195286609e-235,3.315785858598271e-235,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,1614108.0,5.197657247545867e-206,7.796485871318801e-206,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,4003447.0,4.642679891358112e-71,4.642679891358112e-71,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,1509038.5,1.1840229788135282e-236,3.5520689364405847e-236,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,1518270.5,7.123031152964011e-233,1.0684546729446018e-232,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,4013448.0,1.816078583980227e-72,1.816078583980227e-72,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,1515708.0,1.5494087986803579e-233,4.648226396041074e-233,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,2021036.0,1.355659379351843e-110,2.0334890690277647e-110,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,3990000.0,5.048652678917762e-69,5.048652678917762e-69,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,1508220.0,1.0165901684975494e-235,3.0497705054926483e-235,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,2092539.0,2.357626729672246e-97,3.5364400945083694e-97,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,5576311.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,2147804.0,2.1617297201315883e-87,2.1617297201315883e-87,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,2081941.5,2.9977978605935674e-99,4.4966967908903515e-99,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,4030109.0,3.8767350546911053e-75,3.8767350546911053e-75,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,1508220.0,1.2394828679140582e-235,1.8592243018710874e-235,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,286495.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,4023332.5,4.646095762221237e-74,4.646095762221237e-74,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,1508787.0,1.7211742457212227e-235,5.1635227371636684e-235,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,1891376.5,4.36443748263692e-139,6.54665622395538e-139,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,4017580.0,1.9072716985785033e-73,2.8609075478677555e-73,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,3990000.0,5.157732491399101e-69,5.157732491399101e-69,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,386508.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,5936999.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,2248206.5,1.0402428042855373e-70,1.0402428042855373e-70,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,442485.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,4043500.5,8.604575073857559e-78,8.604575073857559e-78,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,1508220.0,2.381347813017047e-236,7.1440434390511415e-236,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,1548020.0,7.326980157111418e-226,1.0990470235667128e-225,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,4136292.5,7.206781258152617e-94,1.0810171887228926e-93,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,4011962.5,2.465139184513851e-72,2.465139184513851e-72,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,593202.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
