,all,long,medium,short
Baseline,"0.49 (0.45, 0.53)",--,--,--
0-Shot | Notes,"0.74 (0.70, 0.78)","0.73 (0.67, 0.80)","0.79 (0.73, 0.84)","0.70 (0.64, 0.77)"
0-Shot | Summary,"0.75 (0.72, 0.79)","0.78 (0.72, 0.84)","0.78 (0.72, 0.83)","0.70 (0.63, 0.76)"
5-Shot | Summary,"0.84 (0.81, 0.87)","0.85 (0.80, 0.90)","0.89 (0.84, 0.93)","0.78 (0.72, 0.84)"
10-Shot | Summary,"0.86 (0.83, 0.89)","0.89 (0.84, 0.93)","0.89 (0.85, 0.93)","0.79 (0.73, 0.85)"
20-Shot | Summary,"0.86 (0.83, 0.89)","0.89 (0.84, 0.93)","0.89 (0.84, 0.93)","0.81 (0.75, 0.86)"
50-Shot | Summary,"0.84 (0.81, 0.87)","0.84 (0.79, 0.90)","0.88 (0.83, 0.92)","0.81 (0.75, 0.86)"
0-Shot CoT | Notes,"0.67 (0.63, 0.70)","0.62 (0.55, 0.69)","0.70 (0.64, 0.76)","0.68 (0.61, 0.74)"
0-Shot CoT | Summary,"0.70 (0.66, 0.74)","0.69 (0.62, 0.76)","0.76 (0.69, 0.81)","0.66 (0.59, 0.72)"
5-Shot CoT | Summary,"0.83 (0.80, 0.86)","0.85 (0.80, 0.90)","0.88 (0.83, 0.92)","0.77 (0.70, 0.82)"
10-Shot CoT | Summary,"0.83 (0.80, 0.86)","0.88 (0.83, 0.93)","0.88 (0.83, 0.92)","0.75 (0.69, 0.81)"
20-Shot CoT | Summary,"0.83 (0.80, 0.86)","0.88 (0.83, 0.93)","0.89 (0.84, 0.93)","0.73 (0.67, 0.79)"
50-Shot CoT | Summary,"0.83 (0.80, 0.86)","0.87 (0.82, 0.92)","0.87 (0.82, 0.92)","0.76 (0.69, 0.82)"
