Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,180340.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,1558099.5,2.1755165056328438e-207,2.1755165056328438e-207,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,5532743.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,249113.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,214318.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,2852637.5,9.097813158113264e-08,9.097813158113264e-08,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,10701.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,272087.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,5534801.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,20272.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,18685.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,3099999.0,0.6233567099068527,0.6233567099068527,False,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,98287.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,102091.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,3061319.0,0.21101565190329719,0.21101565190329719,False,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,189757.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,1063847.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,5079958.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,2280187.0,1.1295245600549277e-61,1.1295245600549277e-61,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,5601754.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,5910103.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,131411.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,1832813.5,1.068440458217375e-141,1.068440458217375e-141,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,5789543.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,13822.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,83401.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,4543013.0,1.7021248655579586e-170,1.7021248655579586e-170,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,3453.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,1514.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,2745576.0,9.312880967313144e-14,9.312880967313144e-14,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,212.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,331.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,3483935.5,1.8048633743590354e-12,1.8048633743590354e-12,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,10936.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,8735.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,2757664.5,5.471080132803358e-13,5.471080132803358e-13,True,0.016952427508441503,0.016666666666666666
