Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,353104.0,1.0143818506671787e-224,1.3127294538045843e-224,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,473.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot | Summary,12839.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot | Summary,28710.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot | Summary,1175170.5,6.721013805616025e-12,7.0410620820739305e-12,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,5-Shot CoT | Summary,332155.0,1.8343738381798416e-233,2.421373466397391e-233,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot CoT | Summary,764454.5,3.5926257957597954e-82,4.0881603882783876e-82,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot CoT | Summary,470959.0,2.2847112151219003e-178,2.792424818482322e-178,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot CoT | Summary,587632.5,1.7814447756353046e-138,2.099559914141609e-138,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot | Summary,1043922.5,1.549787523977844e-19,1.6497738158473824e-19,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot | Summary,74350.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,5-Shot CoT | Summary,2593.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
