,all,long,medium,short
Baseline,"-0.02 (-0.11, 0.06)",--,--,--
0-Shot | Notes,"0.56 (0.51, 0.61)","0.58 (0.50, 0.66)","0.61 (0.52, 0.70)","0.47 (0.38, 0.56)"
0-Shot | Summary,"0.58 (0.53, 0.63)","0.64 (0.56, 0.72)","0.59 (0.50, 0.68)","0.46 (0.37, 0.55)"
5-Shot | Summary,"0.70 (0.65, 0.75)","0.72 (0.63, 0.81)","0.79 (0.71, 0.87)","0.59 (0.48, 0.68)"
10-Shot | Summary,"0.73 (0.68, 0.78)","0.79 (0.71, 0.87)","0.78 (0.69, 0.86)","0.60 (0.50, 0.70)"
20-Shot | Summary,"0.73 (0.67, 0.78)","0.78 (0.68, 0.86)","0.77 (0.68, 0.86)","0.62 (0.52, 0.73)"
50-Shot | Summary,"0.70 (0.65, 0.75)","0.71 (0.62, 0.80)","0.76 (0.67, 0.84)","0.62 (0.51, 0.72)"
0-Shot CoT | Notes,"0.44 (0.39, 0.49)","0.44 (0.37, 0.51)","0.44 (0.35, 0.54)","0.43 (0.33, 0.52)"
0-Shot CoT | Summary,"0.49 (0.43, 0.54)","0.50 (0.41, 0.59)","0.54 (0.44, 0.64)","0.38 (0.28, 0.48)"
5-Shot CoT | Summary,"0.69 (0.63, 0.74)","0.72 (0.63, 0.81)","0.76 (0.68, 0.84)","0.55 (0.44, 0.66)"
10-Shot CoT | Summary,"0.70 (0.65, 0.75)","0.77 (0.69, 0.85)","0.76 (0.68, 0.84)","0.53 (0.42, 0.64)"
20-Shot CoT | Summary,"0.69 (0.64, 0.74)","0.77 (0.69, 0.85)","0.78 (0.70, 0.86)","0.48 (0.37, 0.59)"
50-Shot CoT | Summary,"0.69 (0.64, 0.74)","0.76 (0.66, 0.84)","0.75 (0.66, 0.83)","0.54 (0.44, 0.64)"
