Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,130068.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,244756.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,4138479.0,9.382143943136058e-88,9.382143943136058e-88,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,189280.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,10901.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,1223303.0,6.815118361993298e-304,6.815118361993298e-304,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,6922.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,154825.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,5388192.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,21425.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,8885.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,2723456.0,3.608489718026941e-15,3.608489718026941e-15,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,103416.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,87427.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,2894759.5,6.442723290814081e-06,6.442723290814081e-06,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,142331.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,588232.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,4727975.0,1.54302229337964e-216,1.54302229337964e-216,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,2739641.5,4.329448887982127e-14,1.2988346663946382e-13,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,2925713.0,9.429763037718399e-05,9.429763037718399e-05,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,3352683.5,8.149637692093788e-06,1.2224456538140681e-05,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,86728.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,260482.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,4486155.0,1.0378768051209229e-156,1.0378768051209229e-156,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,5651.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,51315.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,4577455.0,3.734636378511819e-178,3.734636378511819e-178,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,1300.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,334.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,2579585.5,1.1732083004827139e-26,1.1732083004827139e-26,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,55.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,24.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,3340791.5,2.3556670967509068e-05,2.3556670967509068e-05,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,7539.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,7290.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,2773830.5,5.952057194859245e-12,5.952057194859245e-12,True,0.016952427508441503,0.016666666666666666
