Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,354338.5,3.502085804262569e-224,4.532111040810383e-224,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,110.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot | Summary,38459.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot | Summary,164070.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot | Summary,1338032.0,9.819872561323707e-10,1.0453412726570397e-09,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,5-Shot CoT | Summary,369986.0,1.2476911933219757e-236,1.646952375185008e-236,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot CoT | Summary,1235980.0,2.314067810933167e-18,2.5037455003539183e-18,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot CoT | Summary,569755.5,1.773666885604861e-163,2.2511925855754006e-163,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot CoT | Summary,722877.5,6.80721817729626e-116,8.168661812755512e-116,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot | Summary,1412005.5,3.749650446829126e-05,3.866827023292536e-05,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot | Summary,82681.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,5-Shot CoT | Summary,8438.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
