,all,long,medium,short
Baseline,"0.52 (0.49, 0.56)",--,--,--
0-Shot | Notes,"0.80 (0.77, 0.82)","0.74 (0.70, 0.79)","0.82 (0.78, 0.86)","0.83 (0.79, 0.87)"
0-Shot | Summary,"0.77 (0.74, 0.80)","0.74 (0.69, 0.78)","0.78 (0.73, 0.82)","0.79 (0.75, 0.84)"
5-Shot | Summary,"0.78 (0.76, 0.81)","0.75 (0.70, 0.79)","0.80 (0.76, 0.84)","0.80 (0.76, 0.84)"
10-Shot | Summary,"0.79 (0.77, 0.82)","0.77 (0.72, 0.81)","0.78 (0.74, 0.83)","0.82 (0.78, 0.86)"
20-Shot | Summary,"0.79 (0.76, 0.81)","0.76 (0.71, 0.80)","0.78 (0.74, 0.83)","0.81 (0.77, 0.86)"
50-Shot | Summary,"0.80 (0.77, 0.82)","0.77 (0.72, 0.81)","0.82 (0.78, 0.86)","0.81 (0.77, 0.85)"
0-Shot CoT | Notes,"0.78 (0.76, 0.81)","0.73 (0.68, 0.78)","0.80 (0.76, 0.84)","0.82 (0.78, 0.86)"
0-Shot CoT | Summary,"0.78 (0.76, 0.81)","0.74 (0.69, 0.78)","0.80 (0.75, 0.84)","0.81 (0.77, 0.85)"
5-Shot CoT | Summary,"0.81 (0.78, 0.83)","0.76 (0.71, 0.80)","0.82 (0.78, 0.86)","0.84 (0.81, 0.88)"
10-Shot CoT | Summary,"0.81 (0.78, 0.83)","0.77 (0.72, 0.81)","0.83 (0.79, 0.86)","0.83 (0.79, 0.87)"
20-Shot CoT | Summary,"0.80 (0.78, 0.83)","0.80 (0.76, 0.84)","0.80 (0.76, 0.84)","0.80 (0.75, 0.84)"
50-Shot CoT | Summary,"0.79 (0.77, 0.81)","0.75 (0.70, 0.80)","0.81 (0.76, 0.85)","0.81 (0.77, 0.86)"
