Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,4107192.0,1.4193375371378868e-82,1.4193375371378868e-82,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,6239310.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,6208111.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,4013817.0,5.9219655155812795e-68,5.9219655155812795e-68,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,5870488.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,5494247.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,3109577.0,0.7624603789455392,0.7624603789455392,False,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,5988773.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,6006266.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,5496805.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,5941617.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,4204888.0,1.6361669421828047e-99,1.6361669421828047e-99,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,5174400.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,6031409.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,4984762.5,4.55006177018677e-291,4.55006177018677e-291,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,2215429.0,4.414489109385694e-71,4.414489109385694e-71,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,5785311.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,6019555.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,4718974.0,3.1165309834751344e-214,3.1165309834751344e-214,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,6236636.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,6145298.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,4298281.0,5.318608715812302e-117,5.318608715812302e-117,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,6192496.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,6064620.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,4807767.0,1.5408675785799793e-238,1.5408675785799793e-238,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,6230871.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,6108676.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,3403910.0,4.595519979778237e-08,4.595519979778237e-08,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,6123069.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,6094045.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,2924768.0,8.70238151098312e-05,0.00013053572266474682,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,3148463.0,0.6456422949412965,0.6456422949412965,False,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,3356179.0,5.78950258635978e-06,1.736850775907934e-05,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,3876570.0,4.160959014419504e-49,4.160959014419504e-49,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,6112907.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,5984171.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
