Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,1457.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,156830.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,629107.0,4.416245531416392e-133,5.4994755674241865e-133,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,227059.5,4.210857827883874e-290,7.940474761152449e-290,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,1223579.5,1.9424334884055794e-13,2.067751777980133e-13,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,134489.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,95107.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,299203.5,2.746906197782575e-259,5.0359946959347214e-259,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,436781.0,1.842464531740876e-201,2.7022813132199516e-201,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,1171121.5,2.2042550578104944e-16,2.384931701893322e-16,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,621845.5,1.5320388773916292e-135,2.0222913181569507e-135,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,120207.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,15858.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,86543.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,1280.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,157038.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,182750.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,25.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,6.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,153.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot CoT | Summary,25582.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot | Summary,427073.5,2.0489307720577033e-203,3.0733961580865554e-203,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot | Summary,1130899.0,1.264574048117644e-19,1.4389980547545603e-19,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot | Summary,78855.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Notes,1434503.5,0.22101831367928804,0.22441859542820017,False,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Summary,1160170.5,2.428123633104057e-17,2.6709359964144628e-17,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,5-Shot CoT | Summary,1931.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot CoT | Summary,3373.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot CoT | Summary,56287.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot CoT | Summary,585836.5,5.797145899782292e-144,7.80840059970676e-144,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot | Summary,618082.0,6.06649016775996e-134,7.699775982156873e-134,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot | Summary,355756.0,1.1304426978817356e-230,1.9634004752682774e-230,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Notes,630167.0,6.918672302164851e-135,8.95357592044863e-135,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Summary,373126.5,2.3497698742778582e-228,3.877120292558466e-228,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,5-Shot CoT | Summary,40272.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,10-Shot CoT | Summary,38271.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot CoT | Summary,416530.0,3.525920377725195e-209,5.540732022139592e-209,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot CoT | Summary,1354766.0,0.0037533959896544804,0.003870689614331183,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot | Summary,62110.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Notes,1278961.0,5.003714476920722e-09,5.241986594869328e-09,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Summary,931735.5,1.448261240596064e-54,1.7068793192739325e-54,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,5-Shot CoT | Summary,7359.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,10-Shot CoT | Summary,4499.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,20-Shot CoT | Summary,118682.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot CoT | Summary,794211.0,6.242249172148661e-85,7.490699006578393e-85,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Notes,129357.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Summary,68254.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,5-Shot CoT | Summary,421764.5,1.3286818906008022e-207,2.0393722041779757e-207,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,10-Shot CoT | Summary,579211.5,9.17002364447669e-147,1.2608782511155448e-146,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,20-Shot CoT | Summary,1475616.5,0.8062045632845767,0.8062045632845767,False,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,50-Shot CoT | Summary,367245.0,5.262576912780582e-229,8.905899390859446e-229,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,0-Shot CoT | Summary,1143071.5,2.8983973813703627e-19,3.2422750367871853e-19,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,5-Shot CoT | Summary,7297.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,10-Shot CoT | Summary,13284.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,20-Shot CoT | Summary,111048.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,50-Shot CoT | Summary,691845.5,6.588394525905868e-116,8.052482198329394e-116,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,5-Shot CoT | Summary,985.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,10-Shot CoT | Summary,1061.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,20-Shot CoT | Summary,35363.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,50-Shot CoT | Summary,436052.5,1.4505989942462555e-199,2.0812942091359317e-199,True,0.0007768692078230499,0.0007575757575757576
5-Shot CoT | Summary,10-Shot CoT | Summary,1112229.5,3.683619200906325e-24,4.265243285259955e-24,True,0.0007768692078230499,0.0007575757575757576
5-Shot CoT | Summary,20-Shot CoT | Summary,409701.0,9.601129024102886e-211,1.5455475990019278e-210,True,0.0007768692078230499,0.0007575757575757576
5-Shot CoT | Summary,50-Shot CoT | Summary,47131.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot CoT | Summary,20-Shot CoT | Summary,567325.5,1.1384635439422695e-150,1.5986934872380804e-150,True,0.0007768692078230499,0.0007575757575757576
10-Shot CoT | Summary,50-Shot CoT | Summary,38622.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot CoT | Summary,50-Shot CoT | Summary,347441.5,1.4807348388767262e-235,2.6413107936719982e-235,True,0.0007768692078230499,0.0007575757575757576
