,all,long,medium,short
Baseline,"0.05 (-0.01, 0.11)",--,--,--
0-Shot | Notes,"0.60 (0.55, 0.65)","0.46 (0.36, 0.55)","0.64 (0.55, 0.72)","0.65 (0.56, 0.73)"
0-Shot | Summary,"0.54 (0.49, 0.59)","0.45 (0.35, 0.55)","0.56 (0.48, 0.65)","0.56 (0.47, 0.65)"
5-Shot | Summary,"0.57 (0.51, 0.62)","0.47 (0.36, 0.56)","0.61 (0.52, 0.69)","0.59 (0.49, 0.68)"
10-Shot | Summary,"0.58 (0.53, 0.63)","0.52 (0.42, 0.60)","0.57 (0.49, 0.66)","0.62 (0.54, 0.71)"
20-Shot | Summary,"0.57 (0.52, 0.62)","0.49 (0.39, 0.59)","0.57 (0.48, 0.66)","0.61 (0.52, 0.70)"
50-Shot | Summary,"0.60 (0.55, 0.65)","0.51 (0.42, 0.60)","0.65 (0.56, 0.72)","0.61 (0.52, 0.70)"
0-Shot CoT | Notes,"0.57 (0.52, 0.62)","0.44 (0.34, 0.53)","0.61 (0.52, 0.69)","0.62 (0.54, 0.71)"
0-Shot CoT | Summary,"0.56 (0.51, 0.61)","0.45 (0.35, 0.54)","0.59 (0.51, 0.68)","0.61 (0.51, 0.69)"
5-Shot CoT | Summary,"0.62 (0.57, 0.67)","0.50 (0.40, 0.59)","0.65 (0.56, 0.72)","0.68 (0.59, 0.76)"
10-Shot CoT | Summary,"0.61 (0.57, 0.67)","0.51 (0.41, 0.60)","0.66 (0.58, 0.73)","0.64 (0.56, 0.72)"
20-Shot CoT | Summary,"0.60 (0.56, 0.65)","0.58 (0.49, 0.66)","0.62 (0.53, 0.69)","0.58 (0.49, 0.67)"
50-Shot CoT | Summary,"0.59 (0.53, 0.63)","0.49 (0.39, 0.58)","0.62 (0.54, 0.70)","0.61 (0.53, 0.70)"
