Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,3450544.0,1.786137481104439e-10,1.786137481104439e-10,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,6241739.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,6237231.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,2961071.0,0.0013181056011781482,0.0013181056011781482,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,5887355.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,5942878.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,2292903.0,9.234130478542653e-60,9.234130478542653e-60,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,6005146.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,6153504.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,4981207.0,1.2492426995018077e-289,1.2492426995018077e-289,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,5967328.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,5031210.0,2.5173971357283085e-305,3.776095703592463e-305,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,4522161.0,5.310309825442475e-165,5.310309825442475e-165,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,6028223.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,5557249.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,1647467.0,2.748948154712855e-184,2.748948154712855e-184,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,5819083.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,6138381.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,3790186.0,7.878211236278557e-39,7.878211236278557e-39,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,6237362.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,6219560.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,3645643.0,1.9533808879261037e-24,1.9533808879261037e-24,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,6196760.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,6170738.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,4299338.0,3.708447759357003e-117,3.708447759357003e-117,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,6236278.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,6192511.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,2569857.0,1.476522937500894e-27,1.476522937500894e-27,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,6124169.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,6190555.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,1731698.0,4.207815836357088e-164,6.311723754535633e-164,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,3100433.0,0.630264217541544,0.630264217541544,False,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,4534605.0,6.448492884264928e-168,1.9345478652794785e-167,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,2841483.0,2.7727708979134004e-08,2.7727708979134004e-08,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,6082533.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,6137950.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
