Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,1890.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,160949.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,648696.0,1.3556881970116168e-141,1.7544200196620924e-141,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,237947.0,4.4646898821827005e-295,8.66675094776642e-295,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,1334759.0,3.727443807765844e-10,3.843926426758527e-10,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,174538.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,94709.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,320072.0,1.220548499984345e-258,2.1771946215936966e-258,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,472324.0,1.289766729833104e-200,1.891657870421886e-200,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,1109601.0,3.3030673373159303e-36,3.7586628321181276e-36,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,855900.0,1.7632252376138717e-85,2.115870285136646e-85,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,165954.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,23965.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,117299.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,1978.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,156116.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,255173.0,1.641686770702716e-287,3.0957521961822643e-287,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,12.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,8.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,126.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot CoT | Summary,17402.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot | Summary,461631.5,7.070281984582924e-204,1.0605422976874386e-203,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot | Summary,1210382.0,1.405557861695012e-21,1.5461136478645132e-21,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot | Summary,84105.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Notes,1335100.0,2.661398557561111e-10,2.7881318222068784e-10,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Summary,1240019.0,4.57066979582002e-19,4.9453148610511695e-19,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,5-Shot CoT | Summary,1789.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot CoT | Summary,3357.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot CoT | Summary,39146.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot CoT | Summary,421792.0,1.956960477540077e-219,3.150229061405978e-219,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot | Summary,683973.0,2.461063359230033e-129,3.123657340561196e-129,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot | Summary,389912.0,1.841922641448919e-230,3.0391723583907163e-230,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Notes,803083.0,1.9901460563831355e-98,2.432400735579388e-98,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Summary,389662.0,3.352776274148016e-231,5.673929079327411e-231,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,5-Shot CoT | Summary,38742.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,10-Shot CoT | Summary,39361.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot CoT | Summary,334636.0,6.841516081284794e-254,1.188263319381043e-253,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot CoT | Summary,1331802.0,1.4677677882337126e-10,1.5624624842487908e-10,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot | Summary,71756.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Notes,1511809.0,0.16517174194903728,0.16517174194903728,False,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Summary,972280.0,4.781004863743798e-60,5.634755732269476e-60,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,5-Shot CoT | Summary,7173.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,10-Shot CoT | Summary,4677.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,20-Shot CoT | Summary,88921.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot CoT | Summary,590838.0,8.160721636352723e-160,1.1220992249984994e-159,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Notes,183341.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Summary,71964.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,5-Shot CoT | Summary,430665.0,7.469866990690336e-216,1.1738362413941957e-215,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,10-Shot CoT | Summary,606203.0,1.1887104630360839e-154,1.6011202155179904e-154,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,20-Shot CoT | Summary,1353134.0,5.9664276541190444e-09,6.058218848797799e-09,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,50-Shot CoT | Summary,576581.0,1.781753829498261e-164,2.5020372924869197e-164,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,0-Shot CoT | Summary,1040265.0,1.4946496125675658e-47,1.730646919815076e-47,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,5-Shot CoT | Summary,8805.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,10-Shot CoT | Summary,18665.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,20-Shot CoT | Summary,111082.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,50-Shot CoT | Summary,634554.0,1.6264622521314062e-145,2.1469301728134563e-145,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,5-Shot CoT | Summary,928.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,10-Shot CoT | Summary,915.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,20-Shot CoT | Summary,20576.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Summary,50-Shot CoT | Summary,292994.0,3.0143511429876716e-271,5.526310428810732e-271,True,0.0007768692078230499,0.0007575757575757576
5-Shot CoT | Summary,10-Shot CoT | Summary,1177894.0,1.366971044328994e-26,1.529154049588366e-26,True,0.0007768692078230499,0.0007575757575757576
5-Shot CoT | Summary,20-Shot CoT | Summary,529432.0,2.264834358617643e-180,3.2495449493209656e-180,True,0.0007768692078230499,0.0007575757575757576
5-Shot CoT | Summary,50-Shot CoT | Summary,74861.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot CoT | Summary,20-Shot CoT | Summary,753805.0,2.411909626870094e-111,3.0035101013854002e-111,True,0.0007768692078230499,0.0007575757575757576
10-Shot CoT | Summary,50-Shot CoT | Summary,78430.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot CoT | Summary,50-Shot CoT | Summary,431298.0,4.199012739476445e-214,6.444996297801055e-214,True,0.0007768692078230499,0.0007575757575757576
