,all,long,medium,short
Baseline,"1.15 (0.99, 1.33)",--,--,--
0-Shot | Notes,"1.68 (1.51, 1.86)","2.12 (1.80, 2.46)","1.82 (1.47, 2.27)","1.12 (0.96, 1.30)"
0-Shot | Summary,"1.67 (1.51, 1.84)","2.07 (1.78, 2.38)","1.77 (1.42, 2.20)","1.17 (1.01, 1.34)"
5-Shot | Summary,"2.28 (2.12, 2.45)","2.60 (2.31, 2.90)","2.39 (2.05, 2.80)","1.87 (1.67, 2.10)"
10-Shot | Summary,"2.19 (2.00, 2.38)","2.59 (2.26, 2.94)","2.24 (1.89, 2.67)","1.75 (1.53, 1.99)"
20-Shot | Summary,"1.80 (1.62, 1.99)","2.20 (1.90, 2.53)","1.91 (1.55, 2.33)","1.31 (1.10, 1.54)"
50-Shot | Summary,"1.11 (0.94, 1.29)","1.51 (1.20, 1.86)","1.19 (0.85, 1.61)","0.62 (0.51, 0.74)"
0-Shot CoT | Notes,"1.17 (1.02, 1.34)","1.57 (1.30, 1.87)","1.27 (0.95, 1.68)","0.69 (0.58, 0.81)"
0-Shot CoT | Summary,"1.22 (1.07, 1.39)","1.68 (1.41, 1.98)","1.26 (0.94, 1.66)","0.73 (0.61, 0.85)"
5-Shot CoT | Summary,"2.18 (1.98, 2.38)","2.90 (2.56, 3.26)","2.18 (1.80, 2.61)","1.48 (1.25, 1.71)"
10-Shot CoT | Summary,"2.07 (1.88, 2.27)","2.84 (2.49, 3.20)","1.99 (1.62, 2.41)","1.40 (1.17, 1.64)"
20-Shot CoT | Summary,"1.85 (1.67, 2.05)","2.50 (2.18, 2.85)","1.90 (1.53, 2.33)","1.17 (0.96, 1.38)"
50-Shot CoT | Summary,"1.12 (0.97, 1.29)","1.53 (1.28, 1.84)","1.21 (0.88, 1.62)","0.64 (0.50, 0.79)"
