Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,312.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,767269.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,1964.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,706816.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,41685.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,308.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,1192515.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,77622.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,252.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,606680.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,14037.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,4.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,849505.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,2182.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,670280.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,388.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,639836.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,1953.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,251105.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,5857.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,39714.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,23327.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,9936.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,1574.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,98196.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,2621.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,567896.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
