,all,long,medium,short
Baseline,"41.45 (27.90, 44.90)",--,--,--
0-Shot | Notes,"38.12 (21.00, 41.00)","21.40 (20.00, 22.00)","36.89 (11.00, 41.00)","9.96 (5.00, 13.00)"
0-Shot | Summary,"37.06 (21.00, 40.00)","21.59 (15.00, 23.00)","35.79 (11.00, 40.00)","9.71 (5.00, 12.00)"
5-Shot | Summary,"35.33 (17.00, 39.00)","18.62 (13.00, 20.00)","34.31 (11.00, 39.00)","12.40 (9.00, 13.00)"
10-Shot | Summary,"36.07 (20.00, 39.00)","22.15 (18.00, 24.00)","34.83 (13.00, 39.00)","12.26 (9.00, 13.00)"
20-Shot | Summary,"35.95 (19.00, 40.00)","18.36 (15.00, 19.00)","35.60 (13.00, 40.00)","14.03 (11.00, 15.00)"
50-Shot | Summary,"38.43 (20.00, 42.00)","22.30 (18.00, 24.00)","37.44 (11.00, 42.00)","7.95 (5.00, 9.00)"
0-Shot CoT | Notes,"37.33 (19.00, 41.00)","23.08 (15.00, 27.00)","36.13 (11.00, 41.00)","7.74 (5.00, 9.00)"
0-Shot CoT | Summary,"37.14 (19.00, 41.00)","22.15 (15.00, 25.00)","36.05 (12.00, 41.00)","7.43 (5.00, 8.00)"
5-Shot CoT | Summary,"35.37 (18.00, 39.00)","18.03 (14.00, 20.00)","34.77 (14.00, 39.00)","15.70 (9.00, 18.00)"
10-Shot CoT | Summary,"35.73 (17.00, 40.00)","21.56 (13.00, 25.00)","34.36 (13.00, 40.00)","12.27 (9.00, 13.00)"
20-Shot CoT | Summary,"35.99 (18.00, 41.00)","20.31 (13.00, 23.00)","35.24 (13.00, 41.00)","12.29 (9.00, 13.00)"
50-Shot CoT | Summary,"37.80 (20.00, 42.00)","22.13 (12.00, 25.00)","36.80 (13.00, 42.00)","11.26 (6.00, 13.00)"
