Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,212213.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,10843.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,5324117.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,219640.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,11760.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,5342561.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,503698.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,153720.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,5341559.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,140741.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,34079.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,5325998.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,277958.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,343346.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,5660150.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,21768.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,5348020.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,23612.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,33012.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,5544489.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,47638.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,5411114.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,596628.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,1495645.0,1.1086695463965581e-239,1.1086695463965581e-239,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,5551936.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,320972.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,131933.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,5348160.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,138500.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,138250.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,5551253.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,163100.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,251649.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,5420061.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
