,all,long,medium,short
Baseline,"36.12 (34.02, 38.28)",--,--,--
0-Shot | Notes,"49.01 (46.89, 51.15)","53.30 (49.11, 57.59)","46.37 (42.93, 50.03)","47.24 (44.04, 50.67)"
0-Shot | Summary,"47.03 (45.11, 48.98)","49.99 (46.56, 53.68)","44.64 (41.46, 47.86)","46.35 (43.23, 49.87)"
5-Shot | Summary,"69.06 (65.87, 72.25)","76.98 (71.67, 82.52)","68.89 (63.42, 74.61)","61.24 (56.83, 65.85)"
10-Shot | Summary,"69.14 (66.09, 72.27)","74.55 (69.20, 80.12)","68.24 (62.82, 73.70)","64.43 (59.63, 69.49)"
20-Shot | Summary,"69.74 (66.78, 72.86)","75.90 (70.69, 81.18)","69.23 (63.85, 74.85)","63.96 (59.25, 68.74)"
50-Shot | Summary,"60.09 (57.19, 63.06)","63.94 (58.47, 69.51)","59.72 (54.91, 64.80)","56.42 (51.73, 61.18)"
0-Shot CoT | Notes,"58.29 (55.80, 61.01)","65.49 (60.90, 70.23)","54.62 (50.36, 58.89)","54.68 (50.31, 59.21)"
0-Shot CoT | Summary,"58.66 (56.14, 61.17)","67.88 (63.33, 72.48)","53.88 (49.82, 58.14)","54.02 (49.84, 58.45)"
5-Shot CoT | Summary,"58.35 (55.73, 61.24)","67.74 (62.80, 72.62)","56.97 (52.01, 62.22)","50.23 (46.19, 54.38)"
10-Shot CoT | Summary,"60.21 (55.16, 67.92)","65.37 (60.37, 70.75)","55.43 (50.75, 60.35)","60.01 (47.80, 80.37)"
20-Shot CoT | Summary,"55.24 (52.67, 57.88)","61.99 (56.98, 67.32)","52.44 (48.23, 56.77)","51.21 (46.97, 55.70)"
50-Shot CoT | Summary,"49.38 (46.88, 51.90)","56.13 (51.58, 60.86)","47.01 (43.21, 51.03)","44.91 (40.71, 49.11)"
