Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,3998432.0,1.1673781905676345e-65,1.1673781905676345e-65,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,81889.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,41349.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,4774813.0,2.9817849097334706e-229,2.9817849097334706e-229,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,446963.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,77773.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,119979.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,57.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,137843.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,983434.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,25625.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,344644.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,493991.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,3543.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,291088.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,1113808.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,130521.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,831099.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,3165695.0,0.4252382593264178,0.4252382593264178,False,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,3525.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,2337.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,3236410.5,0.029038526952134217,0.029038526952134217,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,44.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,34.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,129806.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,0.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,10097.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,3995242.5,3.407560837039758e-65,3.407560837039758e-65,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,1644487.0,5.051380171967651e-185,7.577070257951477e-185,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,16137.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,2162396.0,2.3769598775788453e-79,2.3769598775788453e-79,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,5717.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,11633.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,1497226.0,3.1796244832518883e-223,3.1796244832518883e-223,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,1353.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,8179.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
