,all,long,medium,short
Baseline,"249.16 (220.85, 260.85)",--,--,--
0-Shot | Notes,"253.22 (207.00, 275.00)","213.62 (188.00, 218.00)","237.89 (149.00, 275.00)","198.50 (170.00, 207.00)"
0-Shot | Summary,"222.70 (193.00, 235.00)","217.25 (165.00, 235.00)","175.75 (146.00, 189.00)","200.26 (172.00, 207.00)"
5-Shot | Summary,"305.99 (303.00, 307.00)","284.15 (225.00, 304.00)","301.94 (276.00, 306.00)","275.31 (168.00, 307.00)"
10-Shot | Summary,"300.80 (270.00, 316.00)","265.76 (224.00, 279.00)","298.80 (256.00, 316.00)","239.75 (191.00, 252.00)"
20-Shot | Summary,"362.18 (236.00, 426.00)","215.06 (211.00, 216.00)","357.02 (212.00, 426.00)","242.42 (213.00, 252.00)"
50-Shot | Summary,"318.22 (249.00, 340.00)","277.87 (213.00, 299.00)","295.28 (189.00, 340.00)","240.85 (193.00, 252.00)"
0-Shot CoT | Notes,"228.18 (207.00, 235.00)","225.49 (194.00, 235.00)","209.19 (164.00, 219.00)","203.83 (180.00, 207.00)"
0-Shot CoT | Summary,"231.27 (203.00, 240.00)","225.56 (180.00, 240.00)","196.58 (174.00, 203.00)","210.58 (170.00, 222.00)"
5-Shot CoT | Summary,"314.94 (239.00, 326.00)","291.92 (207.00, 314.00)","292.52 (220.00, 326.00)","212.82 (160.00, 237.00)"
10-Shot CoT | Summary,"1977.16 (233.00, 3022.00)","260.75 (224.00, 279.00)","287.61 (191.00, 326.00)","2011.66 (193.00, 3022.00)"
20-Shot CoT | Summary,"286.67 (207.00, 304.00)","285.32 (183.00, 304.00)","184.43 (166.00, 189.00)","197.06 (156.00, 207.00)"
50-Shot CoT | Summary,"239.64 (208.00, 252.00)","215.78 (183.00, 224.00)","195.18 (162.00, 208.00)","233.82 (170.00, 252.00)"
