Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,2103443.0,2.8271867926959976e-95,4.2407801890439965e-95,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,733912.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,4013043.0,2.273782045702207e-72,2.273782045702207e-72,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,6043985.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,1735992.0,1.7219314640956323e-174,1.7219314640956323e-174,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,583098.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,3957641.0,7.390473042160245e-64,7.390473042160245e-64,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,4124303.0,3.183107621468786e-91,4.774661432203179e-91,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,4738681.0,1.7499036031762352e-234,5.249710809528706e-234,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,78126.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,778620.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,4782692.5,5.374553308779589e-248,5.374553308779589e-248,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,723425.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,5548504.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,5993584.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,2061813.5,5.8766143140524e-103,8.814921471078601e-103,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,1533427.0,1.898762240652933e-228,5.6962867219588e-228,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,3987653.0,1.8494093628814177e-68,1.8494093628814177e-68,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,2073119.0,6.672735163975912e-101,6.672735163975912e-101,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,784401.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,1597634.5,3.582653043441272e-211,5.373979565161909e-211,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,4948937.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,1703487.0,1.8476758138271667e-182,1.8476758138271667e-182,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,685906.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,562449.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,542376.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,4269537.0,3.4625405619152795e-119,3.4625405619152795e-119,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,4239783.0,1.872954676317868e-113,5.618864028953604e-113,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,4197785.0,5.422823264688281e-105,8.134234897032423e-105,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,4191553.0,8.829011121966473e-104,8.829011121966473e-104,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,5391874.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,254290.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,210132.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,5339282.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,4215643.0,1.237933352382976e-108,1.237933352382976e-108,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,562903.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
