Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,325795.0,1.6345562071054626e-256,2.451834310658194e-256,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,63.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,54381.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,211730.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,56665.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,421166.5,8.312251392109572e-223,1.0351105507155318e-222,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,417309.5,4.5339992173304e-225,5.75469131430397e-225,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,20165.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,21619.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,372703.5,4.751952506924586e-239,6.818018814283101e-239,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,1000039.5,1.1233548054017472e-55,1.176847891373259e-55,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,5701.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,231.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,1.5,6.697814312225859e-144,7.89385258226619e-144,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,841157.0,8.969265963063647e-89,1.0033416162071199e-88,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,691.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,2775.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,39668.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot CoT | Summary,400309.0,1.2469696745560465e-232,1.751063798312746e-232,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot | Summary,1234980.0,4.6031713842636774e-20,4.673989405560042e-20,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot | Summary,416328.0,7.034940074174863e-226,9.28612089791082e-226,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot | Summary,946869.0,1.6555861149082982e-66,1.8211447263991282e-66,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,5-Shot CoT | Summary,737253.0,6.351234386647744e-118,7.227266715840536e-118,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot CoT | Summary,290188.0,6.340873226043442e-277,1.0207259339484564e-276,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot CoT | Summary,9800.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot | Summary,410871.0,1.5137269176366518e-226,2.0388974808983474e-226,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot | Summary,704567.0,7.998143183281289e-127,9.261007896430966e-127,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Notes,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,5-Shot CoT | Summary,203864.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,10-Shot CoT | Summary,83334.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot CoT | Summary,982612.0,2.0601966272345095e-59,2.229065203237338e-59,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot CoT | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot | Summary,321965.0,5.2907553843451506e-260,8.120694310855348e-260,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Notes,6798.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Summary,22839.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,5-Shot CoT | Summary,417711.0,2.2711773121337043e-225,2.9391706392318525e-225,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,10-Shot CoT | Summary,398290.5,2.273083776024998e-232,3.125490192034372e-232,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,20-Shot CoT | Summary,379109.0,3.2281821019360274e-240,4.7346670828395075e-240,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot CoT | Summary,5720.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Notes,232.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Summary,306.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,5-Shot CoT | Summary,1499448.5,0.0751138338922615,0.0751138338922615,False,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,10-Shot CoT | Summary,302146.0,6.475179418682305e-272,1.0175281943643622e-271,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,20-Shot CoT | Summary,531201.5,2.745053171520798e-183,3.3550649874143086e-183,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,50-Shot CoT | Summary,2.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,0-Shot CoT | Summary,1185428.0,2.5100878523319374e-25,2.5885280977173103e-25,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,5-Shot CoT | Summary,694.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,10-Shot CoT | Summary,2863.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,20-Shot CoT | Summary,55861.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,50-Shot CoT | Summary,586829.0,4.127733023797162e-164,4.953279628556594e-164,True,0.0007768692078230499,0.0007575757575757576
