,all,long,medium,short
Baseline,"0.45 (0.42, 0.48)",--,--,--
0-Shot | Notes,"0.60 (0.57, 0.63)","0.59 (0.53, 0.64)","0.63 (0.58, 0.68)","0.58 (0.53, 0.64)"
0-Shot | Summary,"0.61 (0.58, 0.64)","0.59 (0.53, 0.64)","0.64 (0.59, 0.69)","0.60 (0.55, 0.66)"
5-Shot | Summary,"0.55 (0.52, 0.59)","0.56 (0.50, 0.61)","0.59 (0.53, 0.64)","0.52 (0.46, 0.57)"
10-Shot | Summary,"0.57 (0.54, 0.60)","0.57 (0.52, 0.63)","0.58 (0.53, 0.63)","0.57 (0.51, 0.63)"
20-Shot | Summary,"0.58 (0.54, 0.61)","0.58 (0.52, 0.63)","0.58 (0.53, 0.63)","0.57 (0.52, 0.63)"
50-Shot | Summary,"0.58 (0.55, 0.61)","0.57 (0.52, 0.63)","0.59 (0.53, 0.64)","0.59 (0.54, 0.64)"
0-Shot CoT | Notes,"0.58 (0.55, 0.61)","0.56 (0.50, 0.61)","0.60 (0.55, 0.66)","0.57 (0.52, 0.63)"
0-Shot CoT | Summary,"0.58 (0.55, 0.61)","0.59 (0.53, 0.64)","0.61 (0.56, 0.66)","0.54 (0.49, 0.59)"
5-Shot CoT | Summary,"0.59 (0.56, 0.62)","0.56 (0.51, 0.62)","0.61 (0.55, 0.66)","0.61 (0.56, 0.66)"
10-Shot CoT | Summary,"0.58 (0.55, 0.61)","0.57 (0.51, 0.62)","0.60 (0.55, 0.65)","0.57 (0.52, 0.63)"
20-Shot CoT | Summary,"0.58 (0.55, 0.61)","0.56 (0.51, 0.61)","0.61 (0.56, 0.67)","0.58 (0.53, 0.63)"
50-Shot CoT | Summary,"0.57 (0.53, 0.60)","0.55 (0.50, 0.61)","0.57 (0.52, 0.63)","0.57 (0.51, 0.62)"
