Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,619384.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,2931752.0,0.00015143927288445587,0.00015143927288445587,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,5545143.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,1160423.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,3913305.5,6.993939164710439e-54,6.993939164710439e-54,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,5562064.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,238560.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,1033663.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,4939096.0,5.538014422094046e-277,5.538014422094046e-277,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,2537434.0,1.0548180536796936e-30,3.164454161039081e-30,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,2874241.0,8.81995191439518e-07,8.81995191439518e-07,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,3476991.0,5.15825932984038e-12,7.73738899476057e-12,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,2701395.0,9.967545978626406e-17,1.4951318967939609e-16,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,2680474.0,2.8969125815580437e-18,8.690737744674131e-18,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,3104619.0,0.6894583666207172,0.6894583666207172,False,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,3312142.5,0.00024340618354005609,0.00024340618354005609,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,4244840.0,7.963970409668949e-107,2.389191122900685e-106,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,4090739.5,6.035897533488286e-80,9.05384630023243e-80,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,1497163.5,1.848741736711984e-223,2.773112605067976e-223,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,4093834.0,1.907650280642666e-80,1.907650280642666e-80,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,5410154.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,211603.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,716795.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,4579416.5,8.252430506563005e-179,8.252430506563005e-179,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,3162183.5,0.46599910716448867,0.46599910716448867,False,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,5450119.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,5421499.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,1493819.0,2.2828071907707823e-224,3.4242107861561734e-224,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,3540536.0,3.732939749488992e-16,3.732939749488992e-16,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,5066496.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,1161308.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,4262255.0,4.0666129359468864e-110,4.0666129359468864e-110,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,5704445.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,2555954.5,6.659155791820514e-29,6.659155791820514e-29,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,3855071.0,1.8079932514493997e-46,2.7119898771740996e-46,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,4372641.0,4.041268399933209e-132,1.2123805199799628e-131,True,0.016952427508441503,0.016666666666666666
