Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,592220.5,6.100594246304706e-148,9.363702796653735e-148,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,66.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,25245.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,45615.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,243511.0,1.525183648156352e-283,3.050367296312704e-283,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,89695.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,159122.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,815233.5,2.865820808098828e-85,3.7087092810690716e-85,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,150754.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,311365.5,8.771042889270059e-251,1.608024529699511e-250,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,12322.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,526.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,4234.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,40390.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,6361.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,1362.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,96424.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,2989.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,18484.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot CoT | Summary,26.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot | Summary,43207.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot | Summary,34209.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot | Summary,13013.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Notes,79366.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,0-Shot CoT | Summary,20043.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,5-Shot CoT | Summary,78.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,10-Shot CoT | Summary,20027.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,20-Shot CoT | Summary,5761.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
5-Shot | Summary,50-Shot CoT | Summary,453311.5,1.4284564076936638e-196,2.356953072694545e-196,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot | Summary,1058574.5,1.6566072402996873e-32,1.885104790685851e-32,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot | Summary,407683.0,1.1466280876774727e-210,1.9915119417556103e-210,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Notes,1172369.0,6.970612332584595e-20,7.302546253183861e-20,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,0-Shot CoT | Summary,769483.5,1.3727135942422568e-97,1.811981944399779e-97,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,5-Shot CoT | Summary,94574.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,10-Shot CoT | Summary,814218.5,1.4633719040883148e-83,1.8573566474967074e-83,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,20-Shot CoT | Summary,433383.5,2.8707758954639056e-204,4.858236130785071e-204,True,0.0007768692078230499,0.0007575757575757576
10-Shot | Summary,50-Shot CoT | Summary,693228.0,1.4590666269900862e-116,2.0062166121113686e-116,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot | Summary,667492.5,7.672092747870495e-124,1.1252402696876728e-123,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Notes,1463204.0,0.47962415484999976,0.47962415484999976,False,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,0-Shot CoT | Summary,1048954.5,1.685256273230667e-36,1.986194893450429e-36,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,5-Shot CoT | Summary,212229.0,7.801286712374402e-300,1.6090153844272202e-299,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,10-Shot CoT | Summary,1082762.5,8.019068134893323e-29,8.820974948382656e-29,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,20-Shot CoT | Summary,676446.5,1.5889308733444693e-119,2.2312646306539355e-119,True,0.0007768692078230499,0.0007575757575757576
20-Shot | Summary,50-Shot CoT | Summary,520804.0,8.146634724075343e-174,1.2801854566404112e-173,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Notes,847490.5,8.662065104015173e-78,1.0786722582358518e-77,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,0-Shot CoT | Summary,1177569.5,1.373699399312109e-20,1.4623251670096646e-20,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,5-Shot CoT | Summary,671373.0,1.384603458489867e-120,1.9866049621811133e-120,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,10-Shot CoT | Summary,1099881.0,1.400909456253801e-29,1.5671190527584893e-29,True,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,20-Shot CoT | Summary,1429747.5,0.1844936002322698,0.18733196331276625,False,0.0007768692078230499,0.0007575757575757576
50-Shot | Summary,50-Shot CoT | Summary,188865.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,0-Shot CoT | Summary,1050180.5,6.5661257092813785e-37,7.879350851137654e-37,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,5-Shot CoT | Summary,252655.0,2.8048134696915154e-279,5.444637911754118e-279,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,10-Shot CoT | Summary,1135956.5,7.892263546957892e-25,8.539170395069196e-25,True,0.0007768692078230499,0.0007575757575757576
0-Shot CoT | Notes,20-Shot CoT | Summary,720472.5,1.8739200006255648e-107,2.524055511046679e-107,True,0.0007768692078230499,0.0007575757575757576
