,all,long,medium,short
Baseline,"-0.10 (-0.16, -0.03)",--,--,--
0-Shot | Notes,"0.22 (0.15, 0.28)","0.20 (0.09, 0.30)","0.28 (0.18, 0.38)","0.17 (0.07, 0.28)"
0-Shot | Summary,"0.22 (0.16, 0.28)","0.19 (0.08, 0.30)","0.27 (0.17, 0.37)","0.20 (0.10, 0.31)"
5-Shot | Summary,"0.11 (0.05, 0.17)","0.12 (0.01, 0.23)","0.17 (0.06, 0.28)","0.04 (-0.07, 0.15)"
10-Shot | Summary,"0.15 (0.09, 0.21)","0.16 (0.05, 0.26)","0.15 (0.05, 0.26)","0.14 (0.03, 0.25)"
20-Shot | Summary,"0.16 (0.09, 0.22)","0.17 (0.06, 0.27)","0.16 (0.05, 0.26)","0.15 (0.04, 0.26)"
50-Shot | Summary,"0.17 (0.11, 0.23)","0.15 (0.04, 0.26)","0.17 (0.07, 0.28)","0.19 (0.09, 0.29)"
0-Shot CoT | Notes,"0.16 (0.09, 0.21)","0.11 (0.01, 0.22)","0.21 (0.10, 0.31)","0.15 (0.04, 0.25)"
0-Shot CoT | Summary,"0.16 (0.10, 0.22)","0.18 (0.07, 0.29)","0.23 (0.12, 0.33)","0.08 (-0.03, 0.19)"
5-Shot CoT | Summary,"0.19 (0.12, 0.25)","0.13 (0.02, 0.24)","0.21 (0.10, 0.32)","0.22 (0.11, 0.32)"
10-Shot CoT | Summary,"0.16 (0.10, 0.22)","0.13 (0.03, 0.24)","0.20 (0.09, 0.30)","0.15 (0.04, 0.25)"
20-Shot CoT | Summary,"0.17 (0.11, 0.23)","0.12 (0.01, 0.23)","0.23 (0.12, 0.34)","0.16 (0.05, 0.27)"
50-Shot CoT | Summary,"0.13 (0.07, 0.20)","0.11 (-0.00, 0.23)","0.15 (0.04, 0.26)","0.13 (0.03, 0.24)"
