Prompt,Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,short,medium,469344.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,short,long,2148467.0,1.3123258933720416e-81,1.3123258933720416e-81,True,0.016952427508441503,0.016666666666666666
0-Shot | Notes,medium,long,5365163.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,medium,1179968.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,short,long,3557001.0,2.5703307428932396e-17,2.5703307428932396e-17,True,0.016952427508441503,0.016666666666666666
0-Shot | Summary,medium,long,5358747.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,medium,266379.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,short,long,946667.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot | Summary,medium,long,4749819.0,2.0159537328906384e-222,2.0159537328906384e-222,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,medium,2726682.0,5.968263202104646e-15,8.95239480315697e-15,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,short,long,2680874.0,3.255778095711538e-18,9.767334287134614e-18,True,0.016952427508441503,0.016666666666666666
10-Shot | Summary,medium,long,3087083.5,0.4575273637096252,0.4575273637096252,False,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,medium,2901290.0,1.1686557662275442e-05,1.1686557662275442e-05,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,short,long,2484399.0,3.880855366521022e-36,1.1642566099563065e-35,True,0.016952427508441503,0.016666666666666666
20-Shot | Summary,medium,long,2699602.0,7.735348643391139e-17,1.160302296508671e-16,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,medium,3578552.0,6.285477199441064e-19,6.285477199441064e-19,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,short,long,4292407.5,8.409645765566335e-116,2.5228937296699006e-115,True,0.016952427508441503,0.016666666666666666
50-Shot | Summary,medium,long,3885120.0,3.6188729161756324e-50,5.428309374263449e-50,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,medium,1327550.5,1.0185616147926934e-271,1.5278424221890401e-271,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,short,long,4104016.0,5.153941364852552e-82,5.153941364852552e-82,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Notes,medium,long,5534255.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,medium,196214.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,short,long,677045.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
0-Shot CoT | Summary,medium,long,4582481.0,2.2466384909173847e-179,2.2466384909173847e-179,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,medium,3205509.0,0.11468504643659742,0.11468504643659742,False,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,short,long,5415704.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
5-Shot CoT | Summary,medium,long,5359960.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,medium,1507179.0,1.5780722489445817e-220,2.3671083734168728e-220,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,short,long,3523751.0,5.579785569100697e-15,5.579785569100697e-15,True,0.016952427508441503,0.016666666666666666
10-Shot CoT | Summary,medium,long,5044763.0,1.188417612708326e-309,3.56525283812498e-309,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,medium,1094736.5,0.0,0.0,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,short,long,4260651.0,1.0813993793465647e-109,1.0813993793465647e-109,True,0.016952427508441503,0.016666666666666666
20-Shot CoT | Summary,medium,long,5738491.0,0.0,0.0,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,medium,2429424.5,2.6899367431556336e-42,2.6899367431556336e-42,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,short,long,3920367.0,9.2963044972775e-55,1.394445674591625e-54,True,0.016952427508441503,0.016666666666666666
50-Shot CoT | Summary,medium,long,4539511.5,4.4953443470490916e-169,1.3486033041147275e-168,True,0.016952427508441503,0.016666666666666666
